Timestamp,Sensor,Value
2024-07-22 19:40:42,Current,203
2024-07-22 19:40:43,Current,208
2024-07-22 19:40:44,Current,209
2024-07-22 19:40:45,Current,205
2024-07-22 19:40:46,Current,209
2024-07-22 19:40:47,Current,208
2024-07-22 19:40:48,Current,210
2024-07-22 19:40:49,Current,208
2024-07-22 19:40:50,Current,204
2024-07-22 19:40:52,Current,206
2024-07-22 19:40:53,Current,206
2024-07-22 19:40:54,Current,211
2024-07-22 19:40:55,Current,236
2024-07-22 19:40:56,Current,232
2024-07-22 19:40:58,Current,232
2024-07-22 19:40:59,Current,208
2024-07-22 19:41:00,Current,205
2024-07-22 19:41:01,Current,207
2024-07-22 19:41:02,Current,204
2024-07-22 19:41:03,Current,202
2024-07-22 19:41:04,Current,207
2024-07-22 19:41:05,Current,208
2024-07-22 19:41:06,Current,206
2024-07-22 19:41:07,Current,206
2024-07-22 19:41:09,Current,234
2024-07-22 19:41:10,Current,234
2024-07-22 19:41:11,Current,233
2024-07-22 19:41:12,Current,206
2024-07-22 19:41:13,Current,207
2024-07-22 19:41:15,Current,209
2024-07-22 19:41:16,Current,206
2024-07-22 19:41:17,Current,207
2024-07-22 19:41:18,Current,204
2024-07-22 19:41:19,Current,208
2024-07-22 19:41:20,Current,207
2024-07-22 19:41:21,Current,209
2024-07-22 19:41:22,Current,232
2024-07-22 19:41:23,Current,237
2024-07-22 19:41:25,Current,232
2024-07-22 19:41:26,Current,212
2024-07-22 19:41:27,Current,208
2024-07-22 19:41:28,Current,207
2024-07-22 19:41:29,Current,208
2024-07-22 19:41:30,Current,207
2024-07-22 19:41:31,Current,209
2024-07-22 19:41:32,Current,208

