Timestamp,Sensor,Value
2024-07-22 19:42:53,Current,204
2024-07-22 19:42:54,Current,206
2024-07-22 19:42:56,Current,208
2024-07-22 19:42:57,Current,208
2024-07-22 19:42:58,Current,208
2024-07-22 19:42:59,Current,212
2024-07-22 19:43:00,Current,210
2024-07-22 19:43:01,Current,210
2024-07-22 19:43:02,Current,212
2024-07-22 19:43:03,Current,207
2024-07-22 19:43:04,Current,208
2024-07-22 19:43:05,Current,208
2024-07-22 19:43:06,Current,238
2024-07-22 19:43:08,Current,235
2024-07-22 19:43:09,Current,237
2024-07-22 19:43:10,Current,216
2024-07-22 19:43:11,Current,208
2024-07-22 19:43:12,Current,211
2024-07-22 19:43:13,Current,209
2024-07-22 19:43:14,Current,205
2024-07-22 19:43:16,Current,207
2024-07-22 19:43:17,Current,210
2024-07-22 19:43:18,Current,204
2024-07-22 19:43:19,Current,209
2024-07-22 19:43:20,Current,222
2024-07-22 19:43:21,Current,236
2024-07-22 19:43:23,Current,234
2024-07-22 19:43:24,Current,228
2024-07-22 19:43:25,Current,208
2024-07-22 19:43:26,Current,211
2024-07-22 19:43:27,Current,208
2024-07-22 19:43:28,Current,210
2024-07-22 19:43:29,Current,206
2024-07-22 19:43:30,Current,207
2024-07-22 19:43:31,Current,207
2024-07-22 19:43:32,Current,206
2024-07-22 19:43:33,Current,209
2024-07-22 19:43:35,Current,233
2024-07-22 19:43:36,Current,233
2024-07-22 19:43:37,Current,240
2024-07-22 19:43:38,Current,221
2024-07-22 19:43:40,Current,206
2024-07-22 19:43:41,Current,205
2024-07-22 19:43:42,Current,209
2024-07-22 19:43:43,Current,207
2024-07-22 19:43:44,Current,205
