Timestamp,Sensor,Value
2024-07-21 17:29:56,Current,207
2024-07-21 17:29:57,Current,209
2024-07-21 17:29:58,Current,210
2024-07-21 17:29:59,Current,208
2024-07-21 17:30:00,Current,208
2024-07-21 17:30:02,Current,210
2024-07-21 17:30:03,Current,210
2024-07-21 17:30:04,Current,209
2024-07-21 17:30:05,Current,207
2024-07-21 17:30:06,Current,211
2024-07-21 17:30:07,Current,210
2024-07-21 17:30:08,Current,212
2024-07-21 17:30:09,Current,210
2024-07-21 17:30:10,Current,209
2024-07-21 17:30:11,Current,210
2024-07-21 17:30:12,Current,207
2024-07-21 17:30:13,Current,213
2024-07-21 17:30:15,Current,226
2024-07-21 17:30:16,Current,231
2024-07-21 17:30:17,Current,228
2024-07-21 17:30:19,Current,231
2024-07-21 17:30:20,Current,232
2024-07-21 17:30:21,Current,230
2024-07-21 17:30:23,Current,226
2024-07-21 17:30:24,Current,230
2024-07-21 17:30:25,Current,228
2024-07-21 17:30:27,Current,230
2024-07-21 17:30:28,Current,232
2024-07-21 17:30:29,Current,229
2024-07-21 17:30:30,Current,229
2024-07-21 17:30:32,Current,229
2024-07-21 17:30:33,Current,228
2024-07-21 17:30:34,Current,231
2024-07-21 17:30:36,Current,226
2024-07-21 17:30:37,Current,230
2024-07-21 17:30:38,Current,228
2024-07-21 17:30:39,Current,228
2024-07-21 17:30:41,Current,228
2024-07-21 17:30:42,Current,230
2024-07-21 17:30:43,Current,227
2024-07-21 17:30:45,Current,232
2024-07-21 17:30:46,Current,228
2024-07-21 17:30:47,Current,232
2024-07-21 17:30:49,Current,227
2024-07-21 17:30:50,Current,229
2024-07-21 17:30:51,Current,230
2024-07-21 17:30:53,Current,230
2024-07-21 17:30:54,Current,230
2024-07-21 17:30:55,Current,228
2024-07-21 17:30:57,Current,232
2024-07-21 17:30:58,Current,228
2024-07-21 17:30:59,Current,229
2024-07-21 17:31:01,Current,228
2024-07-21 17:31:02,Current,230
2024-07-21 17:31:03,Current,229
2024-07-21 17:31:05,Current,228
2024-07-21 17:31:06,Current,226
2024-07-21 17:31:07,Current,227
2024-07-21 17:31:08,Current,231
2024-07-21 17:31:10,Current,228
2024-07-21 17:31:11,Current,228
2024-07-21 17:31:12,Current,232
2024-07-21 17:31:14,Current,235
2024-07-21 17:31:15,Current,233
2024-07-21 17:31:16,Current,213
2024-07-21 17:31:17,Current,207
2024-07-21 17:31:18,Current,210
2024-07-21 17:31:20,Current,209
2024-07-21 17:31:21,Current,209
2024-07-21 17:31:22,Current,210
2024-07-21 17:31:23,Current,211
2024-07-21 17:31:24,Current,208
2024-07-21 17:31:25,Current,208
2024-07-21 17:31:26,Current,217
2024-07-21 17:31:27,Current,228
2024-07-21 17:31:29,Current,229
2024-07-21 17:31:30,Current,227
2024-07-21 17:31:31,Current,232
2024-07-21 17:31:32,Current,232
2024-07-21 17:31:34,Current,230
2024-07-21 17:31:35,Current,229
2024-07-21 17:31:36,Current,228
2024-07-21 17:31:38,Current,228
2024-07-21 17:31:39,Current,232
2024-07-21 17:31:40,Current,228
2024-07-21 17:31:42,Current,229
2024-07-21 17:31:43,Current,229
2024-07-21 17:31:44,Current,232
2024-07-21 17:31:46,Current,229
2024-07-21 17:31:47,Current,227
2024-07-21 17:31:48,Current,227
2024-07-21 17:31:50,Current,229
2024-07-21 17:31:51,Current,229
2024-07-21 17:31:52,Current,231
2024-07-21 17:31:54,Current,230
2024-07-21 17:31:55,Current,226
2024-07-21 17:31:56,Current,228
2024-07-21 17:31:58,Current,232
2024-07-21 17:31:59,Current,228
2024-07-21 17:32:00,Current,232
2024-07-21 17:32:02,Current,230
2024-07-21 17:32:03,Current,229
2024-07-21 17:32:04,Current,231
2024-07-21 17:32:06,Current,228
2024-07-21 17:32:07,Current,227
2024-07-21 17:32:08,Current,230
2024-07-21 17:32:10,Current,230
2024-07-21 17:32:11,Current,229
2024-07-21 17:32:12,Current,229
2024-07-21 17:32:14,Current,229
2024-07-21 17:32:15,Current,227
2024-07-21 17:32:16,Current,226
2024-07-21 17:32:18,Current,229
2024-07-21 17:32:19,Current,229
2024-07-21 17:32:20,Current,229
2024-07-21 17:32:22,Current,228
2024-07-21 17:32:23,Current,228
2024-07-21 17:32:24,Current,228
2024-07-21 17:32:26,Current,236
2024-07-21 17:32:27,Current,231
2024-07-21 17:32:28,Current,215
2024-07-21 17:32:29,Current,211
2024-07-21 17:32:30,Current,209
2024-07-21 17:32:32,Current,211
2024-07-21 17:32:33,Current,211
2024-07-21 17:32:34,Current,210
2024-07-21 17:32:35,Current,210
2024-07-21 17:32:36,Current,206
2024-07-21 17:32:37,Current,207
2024-07-21 17:32:38,Current,207
2024-07-21 17:32:39,Current,231
2024-07-21 17:32:41,Current,226
2024-07-21 17:32:42,Current,228
2024-07-21 17:32:43,Current,228
