Timestamp,Sensor,Value
2024-07-31 00:54:13,Current,253
2024-07-31 00:54:14,Current,255
2024-07-31 00:54:15,Current,268
2024-07-31 00:54:17,Current,285
2024-07-31 00:54:18,Current,283
2024-07-31 00:54:19,Current,286
2024-07-31 00:54:21,Current,283
2024-07-31 00:54:22,Current,279
2024-07-31 00:54:23,Current,282
2024-07-31 00:54:24,Current,282
2024-07-31 00:54:26,Current,288
2024-07-31 00:54:27,Current,283
2024-07-31 00:54:28,Current,278
2024-07-31 00:54:30,Current,280
2024-07-31 00:54:31,Current,285
2024-07-31 00:54:32,Current,278
2024-07-31 00:54:34,Current,281
2024-07-31 00:54:35,Current,281
2024-07-31 00:54:36,Current,282
2024-07-31 00:54:38,Current,282
2024-07-31 00:54:39,Current,277
2024-07-31 00:54:40,Current,276
2024-07-31 00:54:41,Current,276
2024-07-31 00:54:43,Current,289
2024-07-31 00:54:44,Current,282
2024-07-31 00:54:45,Current,281
2024-07-31 00:54:46,Current,284
2024-07-31 00:54:48,Current,283
2024-07-31 00:54:49,Current,283
2024-07-31 00:54:50,Current,284
2024-07-31 00:54:52,Current,283
2024-07-31 00:54:53,Current,278
2024-07-31 00:54:54,Current,284
2024-07-31 00:54:56,Current,278
2024-07-31 00:54:57,Current,281
2024-07-31 00:54:58,Current,283
2024-07-31 00:55:00,Current,273
2024-07-31 00:55:01,Current,279
2024-07-31 00:55:02,Current,281
2024-07-31 00:55:04,Current,288
2024-07-31 00:55:05,Current,289
2024-07-31 00:55:06,Current,286
2024-07-31 00:55:07,Current,258
2024-07-31 00:55:08,Current,255
