Timestamp,Sensor,Value
2024-07-27 17:46:46,Current,231
2024-07-27 17:46:47,Current,232
2024-07-27 17:46:48,Current,234
2024-07-27 17:46:49,Current,232
2024-07-27 17:46:50,Current,232
2024-07-27 17:46:51,Current,232
2024-07-27 17:46:52,Current,253
2024-07-27 17:46:53,Current,258
2024-07-27 17:46:54,Current,256
2024-07-27 17:46:55,Current,257
2024-07-27 17:46:56,Current,256
2024-07-27 17:46:57,Current,255
2024-07-27 17:46:58,Current,255
2024-07-27 17:47:00,Current,258
2024-07-27 17:47:01,Current,255
2024-07-27 17:47:02,Current,256
2024-07-27 17:47:03,Current,260
2024-07-27 17:47:04,Current,290
2024-07-27 17:47:05,Current,288
2024-07-27 17:47:07,Current,289
2024-07-27 17:47:08,Current,256
2024-07-27 17:47:09,Current,257
2024-07-27 17:47:10,Current,257
2024-07-27 17:47:11,Current,256
2024-07-27 17:47:12,Current,254
2024-07-27 17:47:13,Current,257
2024-07-27 17:47:14,Current,257
2024-07-27 17:47:15,Current,255
2024-07-27 17:47:16,Current,256
2024-07-27 17:47:17,Current,272
2024-07-27 17:47:19,Current,290
2024-07-27 17:47:20,Current,290
2024-07-27 17:47:21,Current,261
2024-07-27 17:47:22,Current,256
2024-07-27 17:47:23,Current,257
2024-07-27 17:47:24,Current,258
2024-07-27 17:47:25,Current,258
2024-07-27 17:47:26,Current,257
2024-07-27 17:47:27,Current,256
2024-07-27 17:47:28,Current,255
2024-07-27 17:47:29,Current,257
2024-07-27 17:47:30,Current,258
2024-07-27 17:47:32,Current,293
2024-07-27 17:47:33,Current,283
2024-07-27 17:47:34,Current,274
2024-07-27 17:47:35,Current,257
