Timestamp,Sensor,Value
2024-07-24 19:56:30,Current,291
2024-07-24 19:56:31,Current,289
2024-07-24 19:56:32,Current,292
2024-07-24 19:56:33,Current,291
2024-07-24 19:56:34,Current,291
2024-07-24 19:56:35,Current,291
2024-07-24 19:56:36,Current,288
2024-07-24 19:56:38,Current,291
2024-07-24 19:56:39,Current,291
2024-07-24 19:56:40,Current,291
2024-07-24 19:56:41,Current,291
2024-07-24 19:56:42,Current,293
2024-07-24 19:56:43,Current,290
2024-07-24 19:56:44,Current,281
2024-07-24 19:56:45,Current,274
2024-07-24 19:56:46,Current,288
2024-07-24 19:56:47,Current,298
2024-07-24 19:56:49,Current,300
2024-07-24 19:56:50,Current,294
2024-07-24 19:56:51,Current,297
2024-07-24 19:56:52,Current,298
2024-07-24 19:56:54,Current,297
2024-07-24 19:56:55,Current,297
2024-07-24 19:56:56,Current,300
2024-07-24 19:56:58,Current,298
2024-07-24 19:56:59,Current,298
2024-07-24 19:57:00,Current,296
2024-07-24 19:57:02,Current,298
2024-07-24 19:57:03,Current,297
2024-07-24 19:57:04,Current,297
2024-07-24 19:57:05,Current,297
2024-07-24 19:57:07,Current,296
2024-07-24 19:57:08,Current,296
2024-07-24 19:57:09,Current,296
2024-07-24 19:57:11,Current,297
2024-07-24 19:57:12,Current,297
2024-07-24 19:57:13,Current,297
2024-07-24 19:57:14,Current,297
2024-07-24 19:57:16,Current,297
2024-07-24 19:57:17,Current,297
2024-07-24 19:57:18,Current,298
2024-07-24 19:57:20,Current,297
2024-07-24 19:57:21,Current,298
2024-07-24 19:57:22,Current,298
2024-07-24 19:57:23,Current,298
2024-07-24 19:57:25,Current,298
2024-07-24 19:57:26,Current,298
2024-07-24 19:57:27,Current,297
2024-07-24 19:57:29,Current,294
2024-07-24 19:57:30,Current,296
2024-07-24 19:57:31,Current,297
2024-07-24 19:57:33,Current,298
2024-07-24 19:57:34,Current,298
2024-07-24 19:57:35,Current,298
2024-07-24 19:57:37,Current,298
2024-07-24 19:57:38,Current,298
2024-07-24 19:57:39,Current,297
2024-07-24 19:57:41,Current,299
2024-07-24 19:57:42,Current,297
2024-07-24 19:57:43,Current,297
2024-07-24 19:57:45,Current,298
2024-07-24 19:57:46,Current,301
2024-07-24 19:57:47,Current,300
2024-07-24 19:57:48,Current,293
2024-07-24 19:57:49,Current,292
2024-07-24 19:57:50,Current,293
2024-07-24 19:57:51,Current,288
2024-07-24 19:57:53,Current,294
2024-07-24 19:57:54,Current,294
2024-07-24 19:57:55,Current,292
2024-07-24 19:57:56,Current,294
2024-07-24 19:57:57,Current,291
2024-07-24 19:57:58,Current,289
2024-07-24 19:57:59,Current,298
2024-07-24 19:58:00,Current,296
2024-07-24 19:58:02,Current,297
2024-07-24 19:58:03,Current,296
2024-07-24 19:58:04,Current,302
2024-07-24 19:58:05,Current,297
2024-07-24 19:58:07,Current,298
2024-07-24 19:58:08,Current,299
2024-07-24 19:58:09,Current,299
2024-07-24 19:58:10,Current,298
2024-07-24 19:58:12,Current,296
2024-07-24 19:58:13,Current,298
2024-07-24 19:58:14,Current,298
2024-07-24 19:58:16,Current,298
2024-07-24 19:58:17,Current,297
2024-07-24 19:58:18,Current,297
2024-07-24 19:58:19,Current,298
2024-07-24 19:58:21,Current,297
2024-07-24 19:58:22,Current,297
2024-07-24 19:58:23,Current,300
2024-07-24 19:58:25,Current,299
2024-07-24 19:58:26,Current,298
2024-07-24 19:58:27,Current,298
2024-07-24 19:58:29,Current,298
2024-07-24 19:58:30,Current,297
2024-07-24 19:58:31,Current,297
2024-07-24 19:58:33,Current,298
2024-07-24 19:58:34,Current,298
2024-07-24 19:58:35,Current,298
2024-07-24 19:58:37,Current,299
2024-07-24 19:58:38,Current,299
2024-07-24 19:58:39,Current,298
2024-07-24 19:58:40,Current,299
2024-07-24 19:58:42,Current,299
2024-07-24 19:58:43,Current,298
2024-07-24 19:58:44,Current,294
2024-07-24 19:58:45,Current,298
2024-07-24 19:58:47,Current,299
2024-07-24 19:58:48,Current,295
2024-07-24 19:58:49,Current,298
2024-07-24 19:58:51,Current,297
2024-07-24 19:58:52,Current,298
2024-07-24 19:58:53,Current,298
2024-07-24 19:58:55,Current,299
2024-07-24 19:58:56,Current,303
2024-07-24 19:58:57,Current,303
2024-07-24 19:58:58,Current,300
2024-07-24 19:58:59,Current,293
2024-07-24 19:59:00,Current,293
2024-07-24 19:59:02,Current,295
2024-07-24 19:59:03,Current,292
2024-07-24 19:59:04,Current,293
2024-07-24 19:59:05,Current,290
2024-07-24 19:59:06,Current,293
2024-07-24 19:59:07,Current,293
2024-07-24 19:59:08,Current,289
2024-07-24 19:59:09,Current,298
2024-07-24 19:59:10,Current,298
2024-07-24 19:59:12,Current,297
2024-07-24 19:59:13,Current,297
2024-07-24 19:59:14,Current,301
2024-07-24 19:59:16,Current,299
2024-07-24 19:59:17,Current,299
2024-07-24 19:59:18,Current,298
2024-07-24 19:59:20,Current,298
2024-07-24 19:59:21,Current,297
2024-07-24 19:59:22,Current,297
2024-07-24 19:59:23,Current,297
2024-07-24 19:59:25,Current,295
2024-07-24 19:59:26,Current,298
2024-07-24 19:59:27,Current,298
2024-07-24 19:59:29,Current,297
2024-07-24 19:59:30,Current,299
2024-07-24 19:59:31,Current,297
2024-07-24 19:59:32,Current,297
2024-07-24 19:59:34,Current,297
2024-07-24 19:59:35,Current,297
2024-07-24 19:59:36,Current,294
2024-07-24 19:59:38,Current,296
2024-07-24 19:59:39,Current,297
2024-07-24 19:59:40,Current,297
2024-07-24 19:59:42,Current,297
2024-07-24 19:59:43,Current,298
2024-07-24 19:59:44,Current,297
2024-07-24 19:59:46,Current,298
2024-07-24 19:59:47,Current,297
2024-07-24 19:59:48,Current,297
2024-07-24 19:59:50,Current,296
2024-07-24 19:59:51,Current,298
2024-07-24 19:59:52,Current,297
2024-07-24 19:59:53,Current,296
2024-07-24 19:59:55,Current,295
2024-07-24 19:59:56,Current,298
2024-07-24 19:59:57,Current,298
2024-07-24 19:59:59,Current,298
2024-07-24 20:00:00,Current,298
2024-07-24 20:00:01,Current,298
2024-07-24 20:00:03,Current,296
2024-07-24 20:00:04,Current,297
2024-07-24 20:00:05,Current,298
2024-07-24 20:00:06,Current,301
2024-07-24 20:00:08,Current,302
2024-07-24 20:00:09,Current,298
2024-07-24 20:00:10,Current,296
2024-07-24 20:00:11,Current,290
2024-07-24 20:00:12,Current,293
2024-07-24 20:00:13,Current,293
2024-07-24 20:00:14,Current,290
2024-07-24 20:00:15,Current,294
