Timestamp,Sensor,Value
2024-07-24 20:00:24,Current,288
2024-07-24 20:00:25,Current,288
2024-07-24 20:00:26,Current,287
2024-07-24 20:00:27,Current,292
2024-07-24 20:00:28,Current,290
2024-07-24 20:00:29,Current,287
2024-07-24 20:00:30,Current,290
2024-07-24 20:00:32,Current,287
2024-07-24 20:00:33,Current,292
2024-07-24 20:00:34,Current,287
2024-07-24 20:00:35,Current,289
2024-07-24 20:00:36,Current,290
2024-07-24 20:00:37,Current,294
2024-07-24 20:00:38,Current,299
2024-07-24 20:00:39,Current,300
2024-07-24 20:00:41,Current,300
2024-07-24 20:00:42,Current,294
2024-07-24 20:00:43,Current,297
2024-07-24 20:00:45,Current,299
2024-07-24 20:00:46,Current,299
2024-07-24 20:00:47,Current,298
2024-07-24 20:00:48,Current,298
2024-07-24 20:00:50,Current,298
2024-07-24 20:00:51,Current,295
2024-07-24 20:00:52,Current,293
2024-07-24 20:00:53,Current,295
2024-07-24 20:00:55,Current,298
2024-07-24 20:00:56,Current,298
2024-07-24 20:00:57,Current,297
2024-07-24 20:00:59,Current,293
2024-07-24 20:01:00,Current,297
2024-07-24 20:01:01,Current,293
2024-07-24 20:01:03,Current,299
2024-07-24 20:01:04,Current,298
2024-07-24 20:01:05,Current,298
2024-07-24 20:01:07,Current,298
2024-07-24 20:01:08,Current,298
2024-07-24 20:01:09,Current,299
2024-07-24 20:01:10,Current,296
2024-07-24 20:01:12,Current,298
2024-07-24 20:01:13,Current,298
2024-07-24 20:01:14,Current,297
2024-07-24 20:01:15,Current,296
2024-07-24 20:01:17,Current,298
2024-07-24 20:01:18,Current,298
2024-07-24 20:01:19,Current,297
2024-07-24 20:01:21,Current,296
2024-07-24 20:01:22,Current,297
2024-07-24 20:01:23,Current,297
2024-07-24 20:01:25,Current,298
2024-07-24 20:01:26,Current,297
2024-07-24 20:01:27,Current,298
2024-07-24 20:01:28,Current,298
2024-07-24 20:01:30,Current,300
2024-07-24 20:01:31,Current,293
2024-07-24 20:01:32,Current,299
2024-07-24 20:01:34,Current,301
2024-07-24 20:01:35,Current,304
2024-07-24 20:01:36,Current,301
2024-07-24 20:01:37,Current,297
2024-07-24 20:01:38,Current,292
2024-07-24 20:01:40,Current,292
2024-07-24 20:01:41,Current,293
2024-07-24 20:01:42,Current,292
2024-07-24 20:01:43,Current,295
2024-07-24 20:01:44,Current,295
2024-07-24 20:01:45,Current,294
2024-07-24 20:01:46,Current,290
2024-07-24 20:01:47,Current,293
2024-07-24 20:01:48,Current,299
2024-07-24 20:01:49,Current,295
2024-07-24 20:01:51,Current,300
2024-07-24 20:01:52,Current,299
2024-07-24 20:01:53,Current,294
2024-07-24 20:01:55,Current,295
2024-07-24 20:01:56,Current,298
2024-07-24 20:01:57,Current,298
2024-07-24 20:01:58,Current,300
2024-07-24 20:02:00,Current,295
2024-07-24 20:02:01,Current,294
2024-07-24 20:02:02,Current,299
2024-07-24 20:02:04,Current,298
2024-07-24 20:02:05,Current,298
2024-07-24 20:02:06,Current,298
2024-07-24 20:02:08,Current,296
2024-07-24 20:02:09,Current,297
2024-07-24 20:02:10,Current,297
2024-07-24 20:02:12,Current,300
2024-07-24 20:02:13,Current,295
2024-07-24 20:02:14,Current,297
2024-07-24 20:02:15,Current,298
2024-07-24 20:02:17,Current,296
2024-07-24 20:02:18,Current,297
2024-07-24 20:02:19,Current,298
2024-07-24 20:02:21,Current,298
2024-07-24 20:02:22,Current,294
2024-07-24 20:02:23,Current,294
2024-07-24 20:02:25,Current,298
2024-07-24 20:02:26,Current,297
2024-07-24 20:02:27,Current,297
2024-07-24 20:02:28,Current,297
2024-07-24 20:02:30,Current,298
2024-07-24 20:02:31,Current,298
2024-07-24 20:02:32,Current,297
2024-07-24 20:02:34,Current,297
2024-07-24 20:02:35,Current,298
2024-07-24 20:02:36,Current,297
2024-07-24 20:02:38,Current,299
2024-07-24 20:02:39,Current,298
2024-07-24 20:02:40,Current,298
2024-07-24 20:02:41,Current,297
2024-07-24 20:02:43,Current,297
2024-07-24 20:02:44,Current,299
2024-07-24 20:02:45,Current,301
2024-07-24 20:02:46,Current,304
2024-07-24 20:02:48,Current,297
2024-07-24 20:02:49,Current,294
2024-07-24 20:02:50,Current,293
2024-07-24 20:02:51,Current,294
2024-07-24 20:02:52,Current,295
2024-07-24 20:02:53,Current,292
2024-07-24 20:02:54,Current,288
2024-07-24 20:02:55,Current,291
2024-07-24 20:02:56,Current,292
2024-07-24 20:02:57,Current,291
2024-07-24 20:02:58,Current,274
2024-07-24 20:03:00,Current,295
2024-07-24 20:03:01,Current,296
2024-07-24 20:03:02,Current,291
2024-07-24 20:03:03,Current,297
2024-07-24 20:03:05,Current,299
2024-07-24 20:03:06,Current,298
2024-07-24 20:03:07,Current,299
2024-07-24 20:03:09,Current,299
2024-07-24 20:03:10,Current,298
2024-07-24 20:03:11,Current,296
2024-07-24 20:03:13,Current,296
2024-07-24 20:03:14,Current,297
2024-07-24 20:03:15,Current,297
2024-07-24 20:03:16,Current,298
2024-07-24 20:03:18,Current,297
2024-07-24 20:03:19,Current,297
2024-07-24 20:03:20,Current,297
2024-07-24 20:03:22,Current,297
2024-07-24 20:03:23,Current,295
2024-07-24 20:03:24,Current,297
2024-07-24 20:03:26,Current,298
2024-07-24 20:03:27,Current,296
2024-07-24 20:03:28,Current,293
2024-07-24 20:03:29,Current,297
2024-07-24 20:03:31,Current,298
2024-07-24 20:03:32,Current,297
2024-07-24 20:03:33,Current,297
2024-07-24 20:03:35,Current,299
2024-07-24 20:03:36,Current,298
2024-07-24 20:03:37,Current,297
2024-07-24 20:03:39,Current,297
2024-07-24 20:03:40,Current,298
2024-07-24 20:03:41,Current,299
2024-07-24 20:03:42,Current,299
2024-07-24 20:03:44,Current,299
2024-07-24 20:03:45,Current,297
2024-07-24 20:03:46,Current,297
2024-07-24 20:03:48,Current,299
2024-07-24 20:03:49,Current,298
2024-07-24 20:03:50,Current,296
2024-07-24 20:03:51,Current,298
2024-07-24 20:03:53,Current,295
2024-07-24 20:03:54,Current,298
2024-07-24 20:03:55,Current,297
2024-07-24 20:03:57,Current,304
2024-07-24 20:03:58,Current,303
2024-07-24 20:03:59,Current,300
2024-07-24 20:04:00,Current,293
2024-07-24 20:04:01,Current,273
2024-07-24 20:04:02,Current,274
2024-07-24 20:04:04,Current,275
2024-07-24 20:04:05,Current,285
2024-07-24 20:04:06,Current,295
