Timestamp,Sensor,Value
2024-07-03 16:02:35,Current,116
2024-07-03 16:02:36,Current,154
2024-07-03 16:02:37,Current,172
2024-07-03 16:02:38,Current,159
2024-07-03 16:02:39,Current,203
2024-07-03 16:02:40,Current,174
2024-07-03 16:02:41,Current,211
2024-07-03 16:02:42,Current,212
2024-07-03 16:02:43,Current,212
2024-07-03 16:02:44,Current,210
2024-07-03 16:02:45,Current,210
2024-07-03 16:02:47,Current,208
2024-07-03 16:02:48,Current,210
2024-07-03 16:02:49,Current,208
2024-07-03 16:02:50,Current,208
2024-07-03 16:02:51,Current,208
2024-07-03 16:02:52,Current,207
2024-07-03 16:02:53,Current,206
2024-07-03 16:02:54,Current,204
2024-07-03 16:02:55,Current,205
2024-07-03 16:02:56,Current,203
2024-07-03 16:02:57,Current,201
2024-07-03 16:02:58,Current,203
2024-07-03 16:03:00,Current,202
2024-07-03 16:03:01,Current,204
2024-07-03 16:03:02,Current,203
2024-07-03 16:03:03,Current,204
2024-07-03 16:03:04,Current,202
2024-07-03 16:03:05,Current,203
2024-07-03 16:03:06,Current,204
2024-07-03 16:03:07,Current,203
2024-07-03 16:03:08,Current,203
2024-07-03 16:03:09,Current,201
2024-07-03 16:03:10,Current,202
2024-07-03 16:03:11,Current,203
2024-07-03 16:03:12,Current,184
2024-07-03 16:03:13,Current,212
2024-07-03 16:03:15,Current,211
2024-07-03 16:03:16,Current,211
2024-07-03 16:03:17,Current,210
2024-07-03 16:03:18,Current,211
2024-07-03 16:03:19,Current,209
2024-07-03 16:03:20,Current,209
2024-07-03 16:03:21,Current,207
2024-07-03 16:03:22,Current,208
2024-07-03 16:03:23,Current,208
2024-07-03 16:03:24,Current,206
2024-07-03 16:03:25,Current,205
2024-07-03 16:03:26,Current,205
2024-07-03 16:03:27,Current,205
2024-07-03 16:03:29,Current,189
2024-07-03 16:03:30,Current,213
2024-07-03 16:03:31,Current,213
2024-07-03 16:03:32,Current,211
2024-07-03 16:03:33,Current,212
2024-07-03 16:03:34,Current,210
2024-07-03 16:03:35,Current,211
2024-07-03 16:03:36,Current,209
2024-07-03 16:03:37,Current,208
2024-07-03 16:03:38,Current,209
2024-07-03 16:03:39,Current,207
2024-07-03 16:03:40,Current,208
2024-07-03 16:03:41,Current,205
2024-07-03 16:03:43,Current,205
2024-07-03 16:03:44,Current,205
2024-07-03 16:03:45,Current,207
2024-07-03 16:03:46,Current,214
2024-07-03 16:03:47,Current,214
2024-07-03 16:03:48,Current,211
2024-07-03 16:03:49,Current,211
2024-07-03 16:03:50,Current,213
2024-07-03 16:03:51,Current,210
2024-07-03 16:03:52,Current,209
2024-07-03 16:03:53,Current,208
2024-07-03 16:03:54,Current,207
2024-07-03 16:03:55,Current,208
2024-07-03 16:03:57,Current,207
2024-07-03 16:03:58,Current,208
2024-07-03 16:03:59,Current,205
2024-07-03 16:04:00,Current,204
2024-07-03 16:04:01,Current,206
2024-07-03 16:04:02,Current,213
2024-07-03 16:04:03,Current,213
2024-07-03 16:04:04,Current,211
2024-07-03 16:04:05,Current,211
2024-07-03 16:04:06,Current,211
2024-07-03 16:04:07,Current,210
2024-07-03 16:04:08,Current,211
2024-07-03 16:04:09,Current,208
2024-07-03 16:04:11,Current,210
2024-07-03 16:04:12,Current,208
2024-07-03 16:04:13,Current,205
2024-07-03 16:04:14,Current,208
2024-07-03 16:04:15,Current,205
2024-07-03 16:04:16,Current,206
2024-07-03 16:04:17,Current,205
2024-07-03 16:04:18,Current,214
2024-07-03 16:04:19,Current,213
2024-07-03 16:04:20,Current,211
2024-07-03 16:04:21,Current,213
2024-07-03 16:04:22,Current,211
2024-07-03 16:04:23,Current,211
2024-07-03 16:04:25,Current,211
2024-07-03 16:04:26,Current,209
2024-07-03 16:04:27,Current,210
2024-07-03 16:04:28,Current,208
2024-07-03 16:04:29,Current,208
2024-07-03 16:04:30,Current,206
2024-07-03 16:04:31,Current,205
2024-07-03 16:04:32,Current,207
2024-07-03 16:04:33,Current,205
2024-07-03 16:04:34,Current,215
2024-07-03 16:04:35,Current,212
