Timestamp,Sensor,Value
2024-07-31 01:15:13,Current,94
2024-07-31 01:15:14,Current,126
2024-07-31 01:15:15,Current,129
2024-07-31 01:15:16,Current,119
2024-07-31 01:15:17,Current,120
2024-07-31 01:15:18,Current,156
2024-07-31 01:15:19,Current,213
2024-07-31 01:15:20,Current,210
2024-07-31 01:15:22,Current,209
2024-07-31 01:15:23,Current,208
2024-07-31 01:15:24,Current,211
2024-07-31 01:15:25,Current,208
2024-07-31 01:15:26,Current,208
2024-07-31 01:15:27,Current,206
2024-07-31 01:15:28,Current,190
2024-07-31 01:15:29,Current,210
2024-07-31 01:15:30,Current,211
2024-07-31 01:15:31,Current,209
2024-07-31 01:15:32,Current,209
2024-07-31 01:15:33,Current,206
2024-07-31 01:15:35,Current,206
2024-07-31 01:15:36,Current,207
2024-07-31 01:15:37,Current,206
2024-07-31 01:15:38,Current,176
2024-07-31 01:15:39,Current,209
2024-07-31 01:15:40,Current,209
2024-07-31 01:15:41,Current,212
2024-07-31 01:15:42,Current,211
2024-07-31 01:15:43,Current,208
2024-07-31 01:15:44,Current,207
2024-07-31 01:15:45,Current,209
2024-07-31 01:15:46,Current,205
2024-07-31 01:15:47,Current,190
2024-07-31 01:15:48,Current,207
2024-07-31 01:15:50,Current,209
2024-07-31 01:15:51,Current,211
2024-07-31 01:15:52,Current,208
2024-07-31 01:15:53,Current,208
2024-07-31 01:15:54,Current,208
2024-07-31 01:15:55,Current,203
2024-07-31 01:15:56,Current,208
2024-07-31 01:15:57,Current,189
2024-07-31 01:15:58,Current,211
2024-07-31 01:15:59,Current,210
2024-07-31 01:16:00,Current,207
2024-07-31 01:16:01,Current,207
2024-07-31 01:16:03,Current,210
2024-07-31 01:16:04,Current,208
2024-07-31 01:16:05,Current,209
2024-07-31 01:16:06,Current,206
2024-07-31 01:16:07,Current,181
2024-07-31 01:16:08,Current,213
2024-07-31 01:16:09,Current,212
2024-07-31 01:16:10,Current,211
2024-07-31 01:16:11,Current,208
2024-07-31 01:16:12,Current,208
2024-07-31 01:16:13,Current,208
2024-07-31 01:16:14,Current,209
2024-07-31 01:16:15,Current,205
2024-07-31 01:16:16,Current,206
2024-07-31 01:16:18,Current,205
2024-07-31 01:16:19,Current,204
2024-07-31 01:16:20,Current,204
2024-07-31 01:16:21,Current,205
2024-07-31 01:16:22,Current,203
2024-07-31 01:16:23,Current,204
2024-07-31 01:16:24,Current,203
2024-07-31 01:16:25,Current,195
2024-07-31 01:16:26,Current,196
2024-07-31 01:16:27,Current,208
2024-07-31 01:16:28,Current,209
2024-07-31 01:16:29,Current,212
2024-07-31 01:16:30,Current,210
2024-07-31 01:16:32,Current,208
2024-07-31 01:16:33,Current,208
2024-07-31 01:16:34,Current,210
2024-07-31 01:16:35,Current,207
2024-07-31 01:16:36,Current,193
2024-07-31 01:16:37,Current,210
2024-07-31 01:16:38,Current,207
2024-07-31 01:16:39,Current,209
2024-07-31 01:16:40,Current,210
2024-07-31 01:16:41,Current,210
2024-07-31 01:16:42,Current,209
2024-07-31 01:16:43,Current,206
2024-07-31 01:16:44,Current,206
2024-07-31 01:16:46,Current,197
2024-07-31 01:16:47,Current,211
2024-07-31 01:16:48,Current,210
2024-07-31 01:16:49,Current,209
2024-07-31 01:16:50,Current,210
