Timestamp,Sensor,Value
2024-07-27 22:07:49,Current,114
2024-07-27 22:07:50,Current,136
2024-07-27 22:07:51,Current,136
2024-07-27 22:07:52,Current,122
2024-07-27 22:07:53,Current,125
2024-07-27 22:07:54,Current,127
2024-07-27 22:07:55,Current,192
2024-07-27 22:07:56,Current,208
2024-07-27 22:07:57,Current,208
2024-07-27 22:07:59,Current,207
2024-07-27 22:08:00,Current,206
2024-07-27 22:08:01,Current,205
2024-07-27 22:08:02,Current,202
2024-07-27 22:08:03,Current,204
2024-07-27 22:08:04,Current,203
2024-07-27 22:08:05,Current,202
2024-07-27 22:08:06,Current,203
2024-07-27 22:08:07,Current,203
2024-07-27 22:08:08,Current,201
2024-07-27 22:08:09,Current,202
2024-07-27 22:08:10,Current,211
2024-07-27 22:08:11,Current,208
2024-07-27 22:08:12,Current,204
2024-07-27 22:08:14,Current,203
2024-07-27 22:08:15,Current,205
2024-07-27 22:08:16,Current,207
2024-07-27 22:08:17,Current,206
2024-07-27 22:08:18,Current,210
2024-07-27 22:08:19,Current,206
2024-07-27 22:08:20,Current,211
2024-07-27 22:08:21,Current,208
2024-07-27 22:08:22,Current,207
2024-07-27 22:08:23,Current,205
2024-07-27 22:08:24,Current,205
2024-07-27 22:08:25,Current,168
2024-07-27 22:08:26,Current,210
2024-07-27 22:08:28,Current,207
2024-07-27 22:08:29,Current,208
2024-07-27 22:08:30,Current,206
2024-07-27 22:08:31,Current,208
2024-07-27 22:08:32,Current,207
2024-07-27 22:08:33,Current,176
2024-07-27 22:08:34,Current,208
2024-07-27 22:08:35,Current,209
2024-07-27 22:08:36,Current,207
2024-07-27 22:08:37,Current,208
2024-07-27 22:08:38,Current,208
2024-07-27 22:08:39,Current,207
2024-07-27 22:08:40,Current,206
2024-07-27 22:08:42,Current,206
2024-07-27 22:08:43,Current,204
2024-07-27 22:08:44,Current,202
2024-07-27 22:08:45,Current,203
2024-07-27 22:08:46,Current,201
2024-07-27 22:08:47,Current,200
2024-07-27 22:08:48,Current,202
2024-07-27 22:08:49,Current,202
2024-07-27 22:08:50,Current,202
2024-07-27 22:08:51,Current,199
2024-07-27 22:08:52,Current,200
2024-07-27 22:08:53,Current,202
2024-07-27 22:08:54,Current,200
2024-07-27 22:08:56,Current,201
2024-07-27 22:08:57,Current,190
2024-07-27 22:08:58,Current,210
2024-07-27 22:08:59,Current,210
2024-07-27 22:09:00,Current,208
2024-07-27 22:09:01,Current,208
2024-07-27 22:09:02,Current,205
2024-07-27 22:09:03,Current,204
2024-07-27 22:09:04,Current,205
2024-07-27 22:09:05,Current,209
2024-07-27 22:09:06,Current,210
2024-07-27 22:09:07,Current,207
2024-07-27 22:09:08,Current,206
2024-07-27 22:09:10,Current,207
2024-07-27 22:09:11,Current,206
2024-07-27 22:09:12,Current,199
2024-07-27 22:09:13,Current,211
2024-07-27 22:09:14,Current,210
2024-07-27 22:09:15,Current,207
2024-07-27 22:09:16,Current,206
2024-07-27 22:09:17,Current,209
2024-07-27 22:09:18,Current,205
2024-07-27 22:09:19,Current,205
2024-07-27 22:09:20,Current,206
2024-07-27 22:09:21,Current,205
2024-07-27 22:09:22,Current,206
2024-07-27 22:09:24,Current,206
2024-07-27 22:09:25,Current,205
2024-07-27 22:09:26,Current,204
