Timestamp,Sensor,Value
2024-07-21 05:58:30,Current,103
2024-07-21 05:58:31,Current,129
2024-07-21 05:58:32,Current,140
2024-07-21 05:58:33,Current,116
2024-07-21 05:58:34,Current,118
2024-07-21 05:58:35,Current,127
2024-07-21 05:58:36,Current,210
2024-07-21 05:58:38,Current,209
2024-07-21 05:58:39,Current,206
2024-07-21 05:58:40,Current,206
2024-07-21 05:58:41,Current,206
2024-07-21 05:58:42,Current,204
2024-07-21 05:58:43,Current,204
2024-07-21 05:58:44,Current,203
2024-07-21 05:58:45,Current,204
2024-07-21 05:58:46,Current,194
2024-07-21 05:58:47,Current,208
2024-07-21 05:58:48,Current,208
2024-07-21 05:58:49,Current,208
2024-07-21 05:58:50,Current,206
2024-07-21 05:58:52,Current,204
2024-07-21 05:58:53,Current,210
2024-07-21 05:58:54,Current,208
2024-07-21 05:58:55,Current,210
2024-07-21 05:58:56,Current,204
2024-07-21 05:58:57,Current,203
2024-07-21 05:58:58,Current,208
2024-07-21 05:58:59,Current,207
2024-07-21 05:59:00,Current,208
2024-07-21 05:59:01,Current,207
2024-07-21 05:59:02,Current,206
2024-07-21 05:59:03,Current,204
2024-07-21 05:59:05,Current,204
2024-07-21 05:59:06,Current,204
2024-07-21 05:59:07,Current,203
2024-07-21 05:59:08,Current,201
2024-07-21 05:59:09,Current,208
2024-07-21 05:59:10,Current,209
2024-07-21 05:59:11,Current,207
2024-07-21 05:59:12,Current,208
2024-07-21 05:59:13,Current,199
2024-07-21 05:59:14,Current,208
2024-07-21 05:59:15,Current,207
2024-07-21 05:59:16,Current,208
2024-07-21 05:59:17,Current,208
2024-07-21 05:59:19,Current,205
2024-07-21 05:59:20,Current,204
2024-07-21 05:59:21,Current,205
2024-07-21 05:59:22,Current,204
2024-07-21 05:59:23,Current,204
2024-07-21 05:59:24,Current,201
2024-07-21 05:59:25,Current,202
2024-07-21 05:59:26,Current,203
2024-07-21 05:59:27,Current,201
2024-07-21 05:59:28,Current,204
2024-07-21 05:59:29,Current,200
2024-07-21 05:59:30,Current,182
2024-07-21 05:59:31,Current,208
2024-07-21 05:59:33,Current,209
2024-07-21 05:59:34,Current,207
2024-07-21 05:59:35,Current,206
2024-07-21 05:59:36,Current,192
2024-07-21 05:59:37,Current,208
2024-07-21 05:59:38,Current,209
2024-07-21 05:59:39,Current,207
2024-07-21 05:59:40,Current,207
2024-07-21 05:59:41,Current,196
2024-07-21 05:59:42,Current,206
2024-07-21 05:59:43,Current,210
2024-07-21 05:59:44,Current,208
2024-07-21 05:59:45,Current,208
2024-07-21 05:59:47,Current,205
2024-07-21 05:59:48,Current,205
2024-07-21 05:59:49,Current,207
2024-07-21 05:59:50,Current,207
