,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2024-07-06 20:35:13,0.1,0.0,0.1,99.8,0.0,3,1145,1693,19,14,19,69.04,3.57,34.63,2.38,34.41,28.00,32.00,1.62,GHz,-N/A-,,0.0
1,2024-07-06 20:35:14,0.1,0.0,0.0,99.9,0.0,1,787,901,11,12,10,43.3,1.46,22.61,1.60,20.70,28.00,28.00,1.99,GHz,-N/A-,,1.0
2,2024-07-06 20:35:15,0.0,0.0,0.0,100.0,0.0,1,463,495,9,5,11,30.84,0.93,15.65,0.88,15.19,26.00,27.00,1.54,GHz,-N/A-,,2.0
3,2024-07-06 20:35:16,0.0,0.0,0.0,100.0,0.0,1,548,344,0,0,0,31.21,1.03,16.09,1.07,15.12,27.00,27.00,1.37,GHz,-N/A-,,3.0
4,2024-07-06 20:35:17,0.0,0.0,0.0,100.0,0.0,2,530,422,1,1,2,38.34,1.18,19.65,1.31,18.69,28.00,27.00,1.63,GHz,-N/A-,,4.0
5,2024-07-06 20:35:18,0.8,0.0,1.6,97.6,0.0,2,15230,14428,1127,751,1126,109.15,5.88,57.78,5.38,51.38,29.00,30.00,2.75,GHz,-N/A-,,5.0
6,2024-07-06 20:35:19,0.8,0.0,1.7,97.5,0.0,2,15283,15109,1143,767,1141,110.57,5.88,55.74,5.28,54.83,29.00,32.00,2.78,GHz,-N/A-,,6.0
7,2024-07-06 20:35:20,0.8,0.0,1.5,97.7,0.0,2,15495,14899,1145,762,1147,110.52,5.88,56.10,5.56,54.42,30.00,31.00,2.78,GHz,-N/A-,,7.0
8,2024-07-06 20:35:21,0.8,0.0,1.6,97.6,0.0,3,15340,14032,1136,757,1137,109.93,5.88,57.06,5.56,52.88,30.00,31.00,2.80,GHz,-N/A-,,8.0
9,2024-07-06 20:35:22,0.8,0.0,1.7,97.5,0.0,2,15304,14848,1142,766,1140,110.38,5.87,57.95,5.65,52.43,30.00,31.00,2.78,GHz,-N/A-,,9.0
10,2024-07-06 20:35:23,0.9,0.0,1.7,97.5,0.0,2,15389,14589,1137,757,1137,110.47,5.88,57.72,5.58,52.75,31.00,31.00,2.80,GHz,-N/A-,,10.0
11,2024-07-06 20:35:24,0.9,0.0,1.6,97.5,0.0,2,15409,14697,1137,763,1135,110.09,5.88,60.66,5.63,49.43,30.00,32.00,2.73,GHz,-N/A-,,11.0
