,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2024-07-06 21:18:19,0.8,0.0,1.8,97.4,0.0,2,26460,18736,1059,706,1059,107.04,6.70,49.88,6.33,57.16,29.00,28.00,2.51,GHz,-N/A-,,0.0
1,2024-07-06 21:18:20,0.8,0.0,1.9,97.3,0.0,2,26278,17002,1070,714,1070,107.23,6.69,47.10,6.30,60.13,29.00,28.00,2.36,GHz,-N/A-,,1.0
2,2024-07-06 21:18:21,0.8,0.0,2.0,97.2,0.0,4,26271,17478,1066,711,1067,107.08,6.70,47.76,6.31,59.32,29.00,28.00,2.62,GHz,-N/A-,,2.0
3,2024-07-06 21:18:22,0.8,0.0,1.9,97.3,0.0,3,27736,17651,1098,713,1099,107.13,6.70,47.29,6.33,59.84,29.00,28.00,2.39,GHz,-N/A-,,3.0
4,2024-07-06 21:18:23,0.9,0.0,1.8,97.3,0.0,2,26727,17665,1061,708,1061,106.77,6.69,50.33,6.34,56.43,29.00,28.00,2.73,GHz,-N/A-,,4.0
5,2024-07-06 21:18:24,0.8,0.0,1.8,97.4,0.0,2,26547,17957,1059,706,1059,106.77,6.69,49.90,6.32,56.87,29.00,29.00,2.49,GHz,-N/A-,,5.0
6,2024-07-06 21:18:25,0.8,0.0,1.9,97.4,0.0,2,26247,17755,1060,707,1060,107.17,6.70,48.58,6.30,58.59,29.00,29.00,2.71,GHz,-N/A-,,6.0
7,2024-07-06 21:18:26,0.8,0.0,1.9,97.3,0.0,4,26628,17558,1058,705,1059,106.93,6.70,50.19,6.31,56.74,30.00,29.00,2.49,GHz,-N/A-,,7.0
8,2024-07-06 21:18:27,0.9,0.0,1.8,97.3,0.0,2,26134,17342,1061,707,1060,107.66,6.69,47.28,6.30,60.39,30.00,29.00,2.27,GHz,-N/A-,,8.0
9,2024-07-06 21:18:28,0.8,0.0,1.8,97.4,0.0,2,26511,17118,1069,712,1069,107.53,6.69,47.75,6.31,59.79,30.00,29.00,2.41,GHz,-N/A-,,9.0
10,2024-07-06 21:18:29,0.8,0.0,1.9,97.4,0.0,2,26612,17405,1064,710,1064,107.55,6.69,49.55,6.32,57.99,30.00,29.00,2.59,GHz,-N/A-,,10.0
11,2024-07-06 21:18:30,0.9,0.0,2.0,97.1,0.1,2,35699,19714,1230,705,1232,107.88,6.70,50.11,6.35,57.77,31.00,30.00,2.42,GHz,-N/A-,,11.0
12,2024-07-06 21:18:31,0.8,0.0,1.8,97.3,0.0,2,27293,17472,1083,712,1085,107.35,6.70,47.70,6.33,59.65,31.00,30.00,2.39,GHz,-N/A-,,12.0
13,2024-07-06 21:18:32,0.8,0.0,1.8,97.4,0.0,2,26775,16990,1066,711,1066,107.29,6.69,50.70,6.39,56.60,30.00,30.00,2.65,GHz,-N/A-,,13.0
14,2024-07-06 21:18:33,0.8,0.0,1.8,97.4,0.0,3,26708,17700,1064,710,1064,107.51,6.69,50.05,6.38,57.46,31.00,30.00,2.59,GHz,-N/A-,,14.0
15,2024-07-06 21:18:34,0.9,0.0,1.8,97.3,0.0,2,27073,17166,1064,709,1064,107.64,6.70,51.66,6.34,55.98,31.00,30.00,2.37,GHz,-N/A-,,15.0
16,2024-07-06 21:18:35,0.8,0.0,1.9,97.3,0.0,2,26739,17410,1066,711,1066,107.86,6.69,49.64,6.32,58.22,30.00,30.00,2.51,GHz,-N/A-,,16.0
17,2024-07-06 21:18:36,0.8,0.0,1.8,97.3,0.0,2,27763,17952,1087,705,1084,107.4,6.70,50.27,6.33,57.13,31.00,31.00,2.26,GHz,-N/A-,,17.0
18,2024-07-06 21:18:37,0.9,0.0,1.9,97.3,0.0,2,26798,16991,1069,712,1067,107.66,6.69,49.68,6.33,57.98,31.00,31.00,2.50,GHz,-N/A-,,18.0
19,2024-07-06 21:18:38,0.6,0.0,1.3,98.1,0.0,1,19042,13185,744,497,748,89.68,5.31,41.49,4.97,48.19,30.00,30.00,1.66,GHz,-N/A-,,19.0
20,2024-07-06 21:18:39,0.0,0.0,0.0,100.0,0.0,1,425,255,0,0,0,37.74,1.26,19.03,0.83,18.70,30.00,30.00,1.73,GHz,-N/A-,,20.0
21,2024-07-06 21:18:40,0.0,0.0,0.0,99.9,0.0,1,427,352,0,0,0,41.65,1.30,21.21,1.20,20.44,30.00,29.00,1.56,GHz,-N/A-,,21.0
22,2024-07-06 21:18:41,0.0,0.0,0.0,100.0,0.0,1,1540,851,23,0,23,40.94,1.46,20.65,1.08,20.29,29.00,29.00,1.48,GHz,-N/A-,,22.0
23,2024-07-06 21:18:42,0.0,0.0,0.0,100.0,0.0,1,418,283,0,0,0,37.92,1.21,19.08,0.77,18.84,29.00,29.00,1.83,GHz,-N/A-,,23.0
24,2024-07-06 21:18:43,0.0,0.0,0.0,100.0,0.0,1,400,273,0,0,0,37.76,1.21,18.99,0.84,18.77,29.00,29.00,1.94,GHz,-N/A-,,24.0
25,2024-07-06 21:18:44,0.0,0.0,0.0,100.0,0.0,1,385,285,0,0,0,38.27,1.26,19.12,0.93,19.15,29.00,29.00,1.50,GHz,-N/A-,,25.0
26,2024-07-06 21:18:45,0.0,0.0,0.0,100.0,0.0,1,304,266,0,0,0,39.29,1.29,19.87,0.92,19.42,29.00,29.00,1.84,GHz,-N/A-,,26.0
27,2024-07-06 21:18:46,0.0,0.0,0.0,100.0,0.0,1,394,304,0,0,0,39.99,1.33,20.22,0.97,19.78,29.00,29.00,1.56,GHz,-N/A-,,27.0
28,2024-07-06 21:18:47,0.0,0.0,0.0,100.0,0.0,1,299,243,0,0,0,37.18,1.17,18.65,0.79,18.53,29.00,29.00,1.69,GHz,-N/A-,,28.0
29,2024-07-06 21:18:48,0.0,0.0,0.0,100.0,0.0,1,424,320,0,0,0,38.62,1.27,19.51,0.91,19.11,29.00,29.00,1.42,GHz,-N/A-,,29.0
30,2024-07-06 21:18:49,0.0,0.0,0.0,100.0,0.0,1,483,301,0,0,0,38.85,1.31,19.54,0.94,19.30,29.00,29.00,1.50,GHz,-N/A-,,30.0
31,2024-07-06 21:18:50,0.0,0.0,0.0,100.0,0.0,1,424,293,0,0,0,38.52,1.30,19.58,0.78,18.94,28.00,28.00,1.52,GHz,-N/A-,,31.0
32,2024-07-06 21:18:51,0.0,0.0,0.0,100.0,0.0,1,273,222,0,0,0,36.46,1.26,18.28,0.71,18.18,29.00,28.00,1.84,GHz,-N/A-,,32.0
33,2024-07-06 21:18:52,0.0,0.0,0.0,100.0,0.0,1,292,220,0,0,0,35.82,1.14,17.94,0.70,17.88,28.00,28.00,1.48,GHz,-N/A-,,33.0
34,2024-07-06 21:18:53,0.0,0.0,0.0,100.0,0.0,1,370,243,0,0,0,36.34,1.19,18.11,0.76,18.23,28.00,28.00,1.56,GHz,-N/A-,,34.0
35,2024-07-06 21:18:54,0.0,0.0,0.0,100.0,0.0,1,447,312,0,0,0,38.8,1.27,19.55,0.87,19.24,28.00,28.00,1.57,GHz,-N/A-,,35.0
36,2024-07-06 21:18:55,0.0,0.0,0.0,100.0,0.0,1,331,272,0,0,0,39.67,1.30,19.92,0.99,19.76,28.00,28.00,1.63,GHz,-N/A-,,36.0
37,2024-07-06 21:18:56,0.0,0.0,0.0,100.0,0.0,1,438,286,0,0,0,38.23,1.25,19.15,0.91,19.08,28.00,28.00,1.69,GHz,-N/A-,,37.0
38,2024-07-06 21:18:57,0.0,0.0,0.0,100.0,0.0,1,313,237,0,0,0,37.0,1.21,18.50,0.72,18.51,28.00,28.00,1.70,GHz,-N/A-,,38.0
39,2024-07-06 21:18:58,0.0,0.0,0.0,100.0,0.0,1,471,305,0,0,0,38.12,1.28,19.14,0.82,18.98,28.00,28.00,1.54,GHz,-N/A-,,39.0
40,2024-07-06 21:18:59,0.0,0.0,0.0,100.0,0.0,1,320,250,0,0,0,37.89,1.26,18.97,0.82,18.92,28.00,28.00,1.69,GHz,-N/A-,,40.0
41,2024-07-06 21:19:00,0.0,0.0,0.0,100.0,0.0,1,383,345,0,0,0,42.4,1.43,21.34,1.30,21.06,28.00,28.00,1.59,GHz,-N/A-,,41.0
42,2024-07-06 21:19:01,0.0,0.0,0.0,100.0,0.0,1,464,280,0,0,0,38.22,1.30,19.10,0.87,19.12,28.00,28.00,1.75,GHz,-N/A-,,42.0
43,2024-07-06 21:19:02,0.0,0.0,0.0,100.0,0.0,1,535,352,0,0,0,40.7,1.35,20.41,1.03,20.29,28.00,28.00,1.43,GHz,-N/A-,,43.0
44,2024-07-06 21:19:03,0.0,0.0,0.0,100.0,0.0,1,380,237,0,0,0,36.61,1.11,18.31,0.78,18.30,28.00,28.00,1.53,GHz,-N/A-,,44.0
45,2024-07-06 21:19:04,0.0,0.0,0.0,100.0,0.0,1,343,261,0,0,0,37.37,1.14,18.67,0.82,18.70,28.00,28.00,1.46,GHz,-N/A-,,45.0
46,2024-07-06 21:19:05,0.0,0.0,0.0,100.0,0.0,1,332,262,0,0,0,38.47,1.30,19.29,0.88,19.18,28.00,28.00,1.85,GHz,-N/A-,,46.0
47,2024-07-06 21:19:06,0.0,0.0,0.1,99.9,0.0,1,586,817,8,4,8,42.42,1.65,21.19,1.15,21.22,28.00,28.00,1.87,GHz,-N/A-,,47.0
48,2024-07-06 21:19:07,0.0,0.0,0.0,100.0,0.0,1,321,237,0,0,0,36.49,1.19,18.25,0.75,18.24,28.00,28.00,1.65,GHz,-N/A-,,48.0
49,2024-07-06 21:19:08,0.0,0.0,0.0,100.0,0.0,1,384,262,0,0,0,35.9,1.18,17.87,0.66,18.03,28.00,28.00,1.24,GHz,-N/A-,,49.0
50,2024-07-06 21:19:09,0.0,0.0,0.0,100.0,0.0,1,317,246,0,0,0,36.82,1.24,18.39,0.73,18.43,28.00,28.00,1.51,GHz,-N/A-,,50.0
51,2024-07-06 21:19:10,0.0,0.0,0.0,100.0,0.0,1,446,295,0,0,0,38.16,1.26,19.12,0.80,19.04,28.00,28.00,1.57,GHz,-N/A-,,51.0
52,2024-07-06 21:19:11,0.0,0.0,0.0,100.0,0.0,1,429,307,0,0,0,40.89,1.41,20.57,1.02,20.32,28.00,28.00,1.70,GHz,-N/A-,,52.0
53,2024-07-06 21:19:12,0.0,0.0,0.0,100.0,0.0,1,328,256,0,0,0,37.35,1.14,18.76,0.80,18.58,28.00,28.00,1.86,GHz,-N/A-,,53.0
