Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:22   0.0   0.0   0.1  99.9   0.0    3    966   1321   11   10   11  59.57    4.40  31.05   2.43  28.52  26.00  22.00  1.38 GHz  -N/A-
17:19:23   0.1   0.0   0.1  99.8   0.0    2   1024   1193   13   14   12  40.30    2.34  21.38   1.54  18.92  23.00  21.00  1.56 GHz  -N/A-
17:19:24   0.0   0.0   0.0 100.0   0.0    2    470    592    7    4    9  33.30    1.66  18.27   1.04  15.03  23.00  21.00  1.48 GHz  -N/A-
17:19:25   0.0   0.0   0.0 100.0   0.0    1    277    219    0    0    0  26.18    1.37  14.12   0.62  12.06  22.00  21.00  1.31 GHz  -N/A-
17:19:26   0.0   0.0   0.0 100.0   0.0    2    364    297    2    1    2  32.30    1.56  18.04   0.83  14.26  22.00  22.00  1.54 GHz  -N/A-
17:19:27   0.8   0.0   1.6  97.6   0.0    7  15054  14072 1121  749 1120 107.71    7.58  60.36   6.58  47.35  26.00  24.00  2.70 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:28   0.8   0.0   1.6  97.6   0.0    2  15221  14153 1125  753 1124 108.20    7.58  59.22   6.75  48.98  25.00  24.00  2.89 GHz  -N/A-
17:19:29   0.8   0.0   1.6  97.6   0.0    3  15103  14329 1120  746 1122 108.26    7.57  63.25   6.79  45.01  25.00  25.00  2.53 GHz  -N/A-
17:19:30   0.8   0.0   1.6  97.6   0.0    2  15117  15473 1122  747 1122 108.64    7.58  58.31   6.78  50.34  25.00  25.00  2.77 GHz  -N/A-
17:19:31   0.8   0.0   1.6  97.6   0.0    2  15148  13859 1116  745 1116 108.31    7.58  63.64   6.79  44.67  25.00  26.00  2.25 GHz  -N/A-
17:19:32   0.7   0.0   1.7  97.6   0.0    2  16316  14157 1154  748 1149 107.96    7.58  58.70   6.78  49.26  26.00  26.00  2.81 GHz  -N/A-
17:19:33   0.8   0.0   1.6  97.6   0.0    2  14979  13915 1114  743 1114 107.91    7.58  62.36   6.78  45.55  26.00  26.00  2.54 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:34   0.8   0.0   1.6  97.6   0.0    2  15007  14011 1116  744 1115 107.69    7.58  58.99   6.69  48.70  26.00  26.00  2.81 GHz  -N/A-
17:19:35   0.7   0.0   1.6  97.6   0.0    3  14995  14389 1112  740 1112 108.10    7.58  61.28   6.77  46.82  26.00  26.00  2.80 GHz  -N/A-
17:19:36   0.8   0.0   1.6  97.6   0.0    2  14989  14051 1116  745 1116 108.56    7.58  61.40   6.76  47.16  26.00  27.00  2.68 GHz  -N/A-
17:19:37   0.5   0.0   1.1  98.4   0.0    1   9965   9960  733  488  735  84.19    5.57  46.61   4.93  37.58  25.00  25.00  2.62 GHz  -N/A-
17:19:38   0.0   0.0   0.0 100.0   0.0    2    297    232    0    0    0  26.39    1.24  14.01   0.79  12.38  24.00  24.00  1.35 GHz  -N/A-
17:19:39   0.0   0.0   0.0 100.0   0.0    1    386    275    0    0    0  22.50    1.34  11.53   0.91  10.97  24.00  23.00  1.25 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:40   0.0   0.0   0.0 100.0   0.0    2    348    326    1    1    1  24.32    1.59  13.02   0.91  11.30  24.00  23.00  1.27 GHz  -N/A-
17:19:41   0.0   0.0   0.0 100.0   0.0    1    310    272    0    0    0  23.29    1.35  12.54   0.86  10.75  24.00  23.00  1.43 GHz  -N/A-
17:19:42   0.0   0.0   0.0 100.0   0.0    2    305    271    0    0    0  23.86    1.38  13.30   0.99  10.56  23.00  23.00  1.31 GHz  -N/A-
17:19:43   0.0   0.0   0.0 100.0   0.0    1    403    310    0    0    0  23.54    1.38  12.82   0.94  10.72  23.00  23.00  1.27 GHz  -N/A-
17:19:44   0.0   0.0   0.0 100.0   0.0    2    353    279    0    0    0  24.27    1.50  13.28   1.07  11.00  24.00  23.00  1.40 GHz  -N/A-
17:19:45   0.0   0.0   0.0 100.0   0.0    1    315    266    0    0    0  22.58    1.36  12.20   0.89  10.39  23.00  23.00  1.38 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:46   0.0   0.0   0.0 100.0   0.0    2    314    259    0    0    0  23.94    1.47  12.92   1.08  11.02  24.00  23.00  1.40 GHz  -N/A-
17:19:47   0.0   0.0   0.0 100.0   0.0    2    441    336    0    0    0  24.52    1.51  13.29   1.19  11.23  23.00  23.00  1.22 GHz  -N/A-
17:19:48   0.0   0.0   0.0 100.0   0.0    2    302    242    0    0    0  23.08    1.33  12.61   0.95  10.47  23.00  22.00  1.27 GHz  -N/A-
17:19:49   0.0   0.0   0.0 100.0   0.0    1    287    261    0    0    0  23.23    1.29  12.91   0.86  10.32  23.00  23.00  1.50 GHz  -N/A-
17:19:50   0.0   0.0   0.0 100.0   0.0    1    309    261    0    0    0  23.47    1.45  12.49   0.92  10.98  23.00  23.00  1.29 GHz  -N/A-
17:19:51   0.0   0.0   0.0 100.0   0.0    2    426    295    0    0    0  24.56    1.41  13.60   1.05  10.95  23.00  23.00  1.30 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:52   0.0   0.0   0.0 100.0   0.0    1    329    253    0    0    0  24.00    1.32  13.25   1.08  10.75  23.00  22.00  1.42 GHz  -N/A-
17:19:53   0.0   0.0   0.0 100.0   0.0    2    368    314    0    0    0  23.68    1.44  12.67   1.06  11.00  23.00  23.00  1.84 GHz  -N/A-
