Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:32   0.0   0.0   0.1  99.9   0.0    3    913   1470   11   11   11  61.54    4.35  32.34   2.62  29.20  25.00  20.00  1.44 GHz  -N/A-
23:43:33   0.1   0.0   0.1  99.9   0.0    2    765    904   13   14   12  41.13    2.24  22.73   1.82  18.40  20.00  20.00  1.87 GHz  -N/A-
23:43:34   0.0   0.0   0.0 100.0   0.0    2    467    535    7    4    9  26.50    1.03  14.85   0.70  11.65  19.00  20.00  1.58 GHz  -N/A-
23:43:35   0.0   0.0   0.0 100.0   0.0    2    394    258    0    0    0  23.67    1.28  12.32   0.80  11.35  19.00  19.00  1.29 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:36   0.0   0.0   0.0 100.0   0.0    2    443    291    2    1    2  22.93    1.22  12.38   0.94  10.55  19.00  19.00  1.82 GHz  -N/A-
23:43:37   0.8   0.0   1.7  97.5   0.0    2  15040  13994 1121  751 1119 106.05    7.57  60.83   6.73  45.22  22.00  22.00  2.63 GHz  -N/A-
23:43:38   0.8   0.0   1.6  97.5   0.0    2  15131  13935 1124  750 1127 107.43    7.57  62.66   6.78  44.77  22.00  23.00  2.54 GHz  -N/A-
23:43:39   0.8   0.0   1.8  97.5   0.0    2  15292  13756 1125  750 1124 107.71    7.56  63.11   6.78  44.61  23.00  23.00  2.24 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:40   0.8   0.0   1.6  97.6   0.0    2  15067  13732 1122  748 1122 107.56    7.57  62.12   6.78  45.44  22.00  24.00  2.59 GHz  -N/A-
23:43:41   0.7   0.0   1.7  97.6   0.0    2  15019  14135 1119  745 1119 107.63    7.57  61.77   6.78  45.86  23.00  24.00  2.62 GHz  -N/A-
23:43:42   0.8   0.0   1.7  97.6   0.0    7  15077  13712 1121  747 1121 107.33    7.58  58.34   6.78  48.99  23.00  24.00  2.77 GHz  -N/A-
23:43:43   0.8   0.0   1.6  97.6   0.0    2  15102  13737 1120  747 1120 107.57    7.57  62.87   6.79  44.69  23.00  24.00  2.29 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:44   0.8   0.0   1.6  97.6   0.0    2  14983  14147 1117  745 1117 108.00    7.58  63.29   6.78  44.72  23.00  24.00  2.44 GHz  -N/A-
23:43:45   0.3   0.0   0.7  99.0   0.0    2   5892   5935  422  281  424  67.01    4.32  38.15   3.57  28.86  21.00  23.00  1.92 GHz  -N/A-
23:43:46   0.0   0.0   0.0 100.0   0.0    2    379    351    0    0    0  26.50    1.13  14.46   0.77  12.04  21.00  22.00  1.35 GHz  -N/A-
23:43:47   0.0   0.0   0.0 100.0   0.0    3    519    329    0    0    0  24.58    1.33  12.81   1.02  11.77  20.00  21.00  1.30 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:48   0.0   0.0   0.0 100.0   0.0    2    260    217    0    0    0  22.22    1.18  12.17   0.84  10.05  20.00  21.00  1.56 GHz  -N/A-
23:43:49   0.0   0.0   0.0 100.0   0.0    1    338    247    0    0    0  23.74    1.27  13.32   0.97  10.42  20.00  20.00  1.51 GHz  -N/A-
23:43:50   0.0   0.0   0.0 100.0   0.0    2    269    192    0    0    0  21.26    1.09  11.77   0.66   9.48  20.00  21.00  1.41 GHz  -N/A-
23:43:51   0.0   0.0   0.0 100.0   0.0    1   1262    453   10    0    9  23.31    1.47  12.58   1.06  10.73  21.00  21.00  1.80 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:52   0.0   0.0   0.0 100.0   0.0    2    289    282    0    0    0  26.41    1.79  14.44   1.08  11.97  20.00  21.00  1.23 GHz  -N/A-
23:43:53   0.0   0.0   0.0 100.0   0.0    2    368    398    0    0    0  25.60    1.31  13.51   0.91  12.09  20.00  21.00  1.27 GHz  -N/A-
23:43:54   0.0   0.0   0.0 100.0   0.0    2    265    182    0    0    0  20.93    1.10  11.09   0.60   9.84  20.00  20.00  1.51 GHz  -N/A-
23:43:55   0.0   0.0   0.0 100.0   0.0    2    378    236    0    0    0  21.05    1.18  11.56   0.66   9.49  20.00  21.00  1.43 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:43:56   0.0   0.0   0.0 100.0   0.0    2    331    219    0    0    0  22.41    1.22  12.46   0.85   9.95  20.00  20.00  1.46 GHz  -N/A-
23:43:57   0.0   0.0   0.0 100.0   0.0    2    316    221    0    0    0  21.86    1.24  12.05   0.87   9.81  20.00  20.00  1.51 GHz  -N/A-
23:43:58   0.0   0.0   0.0 100.0   0.0    2    488    361    0    0    0  24.97    1.41  13.42   1.25  11.55  20.00  20.00  1.47 GHz  -N/A-
23:43:59   0.0   0.0   0.0 100.0   0.0    2    495    390    0    0    0  29.62    1.67  15.80   1.36  13.82  20.00  21.00  1.30 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:00   0.0   0.0   0.0 100.0   0.0    2    258    186    0    0    0  21.98    1.00  11.53   0.71  10.45  20.00  21.00  1.62 GHz  -N/A-
23:44:01   0.0   0.0   0.0 100.0   0.0    2    471    294    0    0    0  23.61    1.36  12.37   0.93  11.24  20.00  20.00  1.38 GHz  -N/A-
