Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:35   0.0   0.0   0.0  99.9   0.0    3    999   1376   11   11   11  60.66    3.14  32.58   3.74  28.08  20.00  25.00  1.37 GHz  -N/A-
05:40:36   0.0   0.0   0.0 100.0   0.0    1    526    571    6    7    5  38.40    2.01  21.44   1.32  16.96  20.00  20.00  1.64 GHz  -N/A-
05:40:37   0.0   0.0   0.0 100.0   0.0    1    496    560    7    4    9  25.00    1.18  13.44   0.63  11.56  19.00  19.00  1.43 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:38   0.0   0.0   0.0 100.0   0.0    1    355    226    0    0    0  22.52    1.23  11.59   0.56  10.93  19.00  19.00  1.38 GHz  -N/A-
05:40:39   0.0   0.0   0.0 100.0   0.0    2    454    338    3    2    3  24.55    1.36  12.70   0.65  11.85  19.00  19.00  1.32 GHz  -N/A-
05:40:40   0.8   0.0   1.6  97.5   0.0    2  15456  14583 1156  775 1154 106.58    7.42  53.72   6.77  52.86  22.00  22.00  2.86 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:41   0.7   0.0   1.6  97.6   0.0    2  15343  14814 1150  766 1152 107.36    7.58  52.47   6.78  54.89  22.00  22.00  2.68 GHz  -N/A-
05:40:42   0.8   0.0   1.6  97.6   0.0    3  15484  14109 1155  770 1155 107.22    7.38  55.37   6.77  51.85  22.00  23.00  2.94 GHz  -N/A-
05:40:43   0.8   0.0   1.6  97.6   0.0    2  15334  15064 1147  764 1147 107.46    7.56  49.48   6.77  57.98  24.00  22.00  2.61 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:44   0.8   0.0   1.6  97.6   0.0    2  15451  13843 1148  766 1148 107.26    7.56  49.39   6.77  57.87  23.00  23.00  2.60 GHz  -N/A-
05:40:45   0.3   0.0   0.5  99.2   0.0    1   5635   5474  401  268  403  60.79    3.51  33.42   3.31  27.38  21.00  21.00  1.83 GHz  -N/A-
05:40:46   0.0   0.0   0.0 100.0   0.0    1    369    321    0    0    0  27.45    1.26  15.53   0.80  11.92  20.00  20.00  1.31 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:47   0.0   0.0   0.0 100.0   0.0    1    437    286    0    0    0  24.90    1.26  13.14   1.03  11.76  20.00  20.00  1.28 GHz  -N/A-
05:40:48   0.0   0.0   0.0 100.0   0.0    1    325    233    0    0    0  23.58    1.17  12.47   0.82  11.11  20.00  20.00  1.41 GHz  -N/A-
05:40:49   0.0   0.0   0.0 100.0   0.0    1    317    247    0    0    0  21.84    1.11  11.70   0.78  10.14  20.00  20.00  1.41 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:50   0.0   0.0   0.0 100.0   0.0    1    756    736    0    0    0  24.34    1.42  13.08   1.18  11.26  20.00  20.00  1.21 GHz  -N/A-
05:40:51   0.0   0.0   0.0 100.0   0.0    1   1368    857   13    0   14  27.24    1.48  14.50   1.02  12.73  20.00  20.00  1.48 GHz  -N/A-
05:40:52   0.0   0.0   0.0 100.0   0.0    1    296    195    0    0    0  21.72    1.00  11.46   0.67  10.26  20.00  20.00  1.42 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:53   0.0   0.0   0.0 100.0   0.0    1    317    236    0    0    0  22.59    1.04  11.83   0.82  10.76  20.00  20.00  1.39 GHz  -N/A-
05:40:54   0.0   0.0   0.0 100.0   0.0    1    329    276    0    0    0  22.51    1.23  11.94   0.80  10.58  20.00  20.00  1.56 GHz  -N/A-
05:40:55   0.0   0.0   0.0 100.0   0.0    1    415    281    0    0    0  22.40    1.25  11.81   0.82  10.59  19.00  20.00  1.21 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:56   0.0   0.0   0.0 100.0   0.0    1   1244    640   20    0   14  23.01    1.41  12.10   0.95  10.91  20.00  19.00  1.84 GHz  -N/A-
05:40:57   0.0   0.0   0.0 100.0   0.0    1    408    298    0    0    0  22.58    1.23  12.07   0.85  10.51  20.00  20.00  1.38 GHz  -N/A-
05:40:58   0.0   0.0   0.0  99.9   0.0    1    325    275    0    0    0  22.66    1.28  11.97   0.82  10.69  20.00  20.00  1.31 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:40:59   0.0   0.0   0.0 100.0   0.0    1    461    294    0    0    0  22.00    1.22  11.83   0.86  10.17  19.00  19.00  1.14 GHz  -N/A-
05:41:00   0.0   0.0   0.0 100.0   0.0    1    330    261    0    0    0  22.66    1.27  12.24   0.85  10.42  20.00  20.00  1.40 GHz  -N/A-
05:41:01   0.0   0.0   0.0 100.0   0.0    1   1190    744   11    0   16  23.63    1.33  12.60   1.04  11.03  20.00  19.00  1.72 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
