, Time,RAMWatt,Time Elapsed
0,1720419542.35155,11.52,0.0
1,1720419543.353113,12.53,1.0
2,1720419544.354642,11.76,2.0
3,1720419545.356302,12.0,3.0
4,1720419546.357828,11.0,4.0
5,1720419547.359522,12.05,5.0
6,1720419548.361027,10.86,6.0
7,1720419549.362667,10.75,7.0
8,1720419550.363881,11.34,8.0
9,1720419551.365975,11.95,9.0
10,1720419552.367771,11.18,10.0
11,1720419553.369403,11.44,11.0
12,1720419554.370722,11.65,12.0
13,1720419555.37269,10.72,13.0
14,1720419556.374216,10.73,14.0
15,1720419557.375932,11.77,15.0
16,1720419558.377517,11.12,16.0
17,1720419559.379459,10.62,17.0
18,1720419560.381112,11.09,18.0
19,1720419561.383669,10.39,19.0
20,1720419562.386023,2.16,20.0
21,1720419563.388646,2.62,21.0
22,1720419564.390872,2.41,22.0
23,1720419565.393162,2.49,23.0
24,1720419566.395608,2.77,24.0
25,1720419567.398583,1.97,25.0
26,1720419568.401099,2.38,26.0
27,1720419569.403609,1.8,27.0
28,1720419570.406075,2.3,28.0
29,1720419571.408783,3.09,29.0
30,1720419572.411229,2.3,30.0
31,1720419573.41387,2.16,31.0
32,1720419574.416363,2.31,32.0
33,1720419575.419516,2.08,33.0
34,1720419576.42221,1.85,34.0
35,1720419577.424927,1.89,35.0
36,1720419578.427111,2.26,36.0
37,1720419579.429736,2.09,37.0
38,1720419580.431793,2.2,38.0
39,1720419581.434518,2.09,39.0
40,1720419582.437057,2.05,40.0
41,1720419583.439628,2.04,41.0
42,1720419584.441927,1.94,42.0
43,1720419585.444586,2.19,43.0
44,1720419586.446891,2.95,44.0
45,1720419587.44939,3.01,45.0
46,1720419588.451971,3.57,46.0
47,1720419589.454706,2.04,47.0
48,1720419590.457221,2.24,48.0
49,1720419591.459621,2.31,49.0
50,1720419592.461902,2.26,50.0
51,1720419593.464117,1.82,51.0
52,1720419594.466821,2.37,52.0
53,1720419595.469537,2.12,53.0
54,1720419596.471904,2.19,54.0
55,1720419597.474402,1.88,55.0
56,1720419598.47704,2.1,56.0
57,1720419599.479408,2.08,57.0
58,1720419600.481754,2.34,58.0
59,1720419601.483798,2.38,59.0
60,1720419602.485909,2.6,60.0
61,1720419603.488453,2.22,61.0
62,1720419604.490922,2.22,62.0
63,1720419605.493482,2.06,63.0
64,1720419606.495994,2.31,64.0
65,1720419607.498472,2.05,65.0
66,1720419608.501055,1.94,66.0
67,1720419609.503472,1.97,67.0
68,1720419610.505944,2.81,68.0
69,1720419611.508885,2.62,69.0
70,1720419612.511555,2.21,70.0
71,1720419613.513805,2.06,71.0
72,1720419614.516023,2.35,72.0
73,1720419615.51857,2.68,73.0
74,1720419616.520952,2.69,74.0
75,1720419617.524142,3.2,75.0
76,1720419618.526494,2.11,76.0
77,1720419619.528896,1.99,77.0
78,1720419620.531407,2.33,78.0
79,1720419621.533809,2.36,79.0
80,1720419622.536208,2.1,80.0
81,1720419623.538409,2.22,81.0
82,1720419624.540474,2.35,82.0
83,1720419625.543273,2.22,83.0
84,1720419626.545523,1.96,84.0
85,1720419627.54798,1.74,85.0
86,1720419628.549944,2.01,86.0
87,1720419629.552127,2.54,87.0
88,1720419630.554277,2.51,88.0
89,1720419631.556427,2.54,89.0
90,1720419632.558645,2.54,90.0
91,1720419633.560935,1.93,91.0
