Timestamp,Sensor,Value
2024-07-27 22:47:25,Current,442
2024-07-27 22:47:26,Current,446
2024-07-27 22:47:27,Current,447
2024-07-27 22:47:28,Current,447
2024-07-27 22:47:29,Current,443
2024-07-27 22:47:30,Current,443
2024-07-27 22:47:31,Current,444
2024-07-27 22:47:32,Current,444
2024-07-27 22:47:34,Current,444
2024-07-27 22:47:35,Current,444
2024-07-27 22:47:36,Current,444
2024-07-27 22:47:37,Current,441
2024-07-27 22:47:38,Current,445
2024-07-27 22:47:39,Current,444
2024-07-27 22:47:40,Current,445
2024-07-27 22:47:41,Current,444
2024-07-27 22:47:42,Current,443
2024-07-27 22:47:43,Current,448
2024-07-27 22:47:44,Current,447
2024-07-27 22:47:45,Current,448
2024-07-27 22:47:46,Current,447
2024-07-27 22:47:47,Current,446
2024-07-27 22:47:48,Current,447
2024-07-27 22:47:50,Current,446
2024-07-27 22:47:51,Current,448
2024-07-27 22:47:52,Current,445
2024-07-27 22:47:53,Current,445
2024-07-27 22:47:54,Current,448
2024-07-27 22:47:55,Current,447
2024-07-27 22:47:56,Current,448
2024-07-27 22:47:57,Current,447
2024-07-27 22:47:58,Current,448
2024-07-27 22:47:59,Current,448
2024-07-27 22:48:00,Current,448
2024-07-27 22:48:01,Current,451
2024-07-27 22:48:02,Current,451
2024-07-27 22:48:03,Current,451
2024-07-27 22:48:04,Current,455
2024-07-27 22:48:05,Current,452
2024-07-27 22:48:07,Current,452
2024-07-27 22:48:08,Current,451
2024-07-27 22:48:09,Current,451
2024-07-27 22:48:10,Current,451
2024-07-27 22:48:11,Current,447
2024-07-27 22:48:12,Current,448
2024-07-27 22:48:13,Current,448
2024-07-27 22:48:14,Current,449
2024-07-27 22:48:15,Current,448
2024-07-27 22:48:16,Current,448
2024-07-27 22:48:17,Current,447
2024-07-27 22:48:18,Current,443
2024-07-27 22:48:19,Current,449
2024-07-27 22:48:20,Current,447
2024-07-27 22:48:21,Current,447
2024-07-27 22:48:22,Current,447
2024-07-27 22:48:24,Current,450
2024-07-27 22:48:25,Current,451
2024-07-27 22:48:26,Current,450
2024-07-27 22:48:27,Current,450
2024-07-27 22:48:28,Current,449
2024-07-27 22:48:29,Current,451
2024-07-27 22:48:30,Current,451
2024-07-27 22:48:31,Current,444
2024-07-27 22:48:32,Current,445
2024-07-27 22:48:33,Current,444
2024-07-27 22:48:34,Current,446
2024-07-27 22:48:35,Current,448
2024-07-27 22:48:36,Current,448
2024-07-27 22:48:37,Current,446
2024-07-27 22:48:38,Current,449
2024-07-27 22:48:40,Current,448
2024-07-27 22:48:41,Current,447
2024-07-27 22:48:42,Current,448
2024-07-27 22:48:43,Current,447
2024-07-27 22:48:44,Current,452
2024-07-27 22:48:45,Current,454
2024-07-27 22:48:46,Current,450
2024-07-27 22:48:47,Current,453
2024-07-27 22:48:48,Current,454
2024-07-27 22:48:49,Current,451
2024-07-27 22:48:50,Current,453
2024-07-27 22:48:51,Current,450
2024-07-27 22:48:52,Current,448
2024-07-27 22:48:53,Current,448
2024-07-27 22:48:54,Current,453
2024-07-27 22:48:55,Current,449
2024-07-27 22:48:57,Current,449
2024-07-27 22:48:58,Current,447
2024-07-27 22:48:59,Current,447
2024-07-27 22:49:00,Current,448
2024-07-27 22:49:01,Current,449
2024-07-27 22:49:02,Current,448
2024-07-27 22:49:03,Current,449
2024-07-27 22:49:04,Current,451
2024-07-27 22:49:05,Current,450
2024-07-27 22:49:06,Current,450
2024-07-27 22:49:07,Current,450
2024-07-27 22:49:08,Current,450
2024-07-27 22:49:09,Current,451
2024-07-27 22:49:10,Current,450
2024-07-27 22:49:11,Current,444
2024-07-27 22:49:12,Current,443
2024-07-27 22:49:14,Current,442
2024-07-27 22:49:15,Current,447
2024-07-27 22:49:16,Current,449
2024-07-27 22:49:17,Current,449
2024-07-27 22:49:18,Current,448
2024-07-27 22:49:19,Current,447
2024-07-27 22:49:20,Current,450
2024-07-27 22:49:21,Current,448
2024-07-27 22:49:22,Current,448
2024-07-27 22:49:23,Current,451
2024-07-27 22:49:24,Current,452
2024-07-27 22:49:25,Current,449
2024-07-27 22:49:26,Current,451
2024-07-27 22:49:27,Current,451
2024-07-27 22:49:28,Current,452
2024-07-27 22:49:30,Current,451
2024-07-27 22:49:31,Current,450
2024-07-27 22:49:32,Current,448
2024-07-27 22:49:33,Current,449
2024-07-27 22:49:34,Current,450
2024-07-27 22:49:35,Current,452
2024-07-27 22:49:36,Current,451
