Timestamp,Sensor,Value
2024-07-21 04:49:35,Current,254
2024-07-21 04:49:36,Current,254
2024-07-21 04:49:37,Current,256
2024-07-21 04:49:38,Current,254
2024-07-21 04:49:39,Current,253
2024-07-21 04:49:40,Current,256
2024-07-21 04:49:41,Current,266
2024-07-21 04:49:42,Current,255
2024-07-21 04:49:43,Current,254
2024-07-21 04:49:44,Current,254
2024-07-21 04:49:45,Current,275
2024-07-21 04:49:46,Current,251
2024-07-21 04:49:47,Current,251
2024-07-21 04:49:48,Current,256
2024-07-21 04:49:50,Current,255
2024-07-21 04:49:51,Current,254
2024-07-21 04:49:52,Current,255
2024-07-21 04:49:53,Current,254
2024-07-21 04:49:54,Current,252
2024-07-21 04:49:55,Current,251
2024-07-21 04:49:56,Current,253
2024-07-21 04:49:57,Current,249
2024-07-21 04:49:58,Current,249
2024-07-21 04:49:59,Current,251
2024-07-21 04:50:00,Current,252
2024-07-21 04:50:01,Current,251
2024-07-21 04:50:02,Current,251
2024-07-21 04:50:03,Current,251
2024-07-21 04:50:04,Current,253
2024-07-21 04:50:06,Current,253
2024-07-21 04:50:07,Current,254
2024-07-21 04:50:08,Current,245
2024-07-21 04:50:09,Current,254
2024-07-21 04:50:10,Current,251
2024-07-21 04:50:11,Current,252
2024-07-21 04:50:12,Current,252
2024-07-21 04:50:13,Current,253
2024-07-21 04:50:14,Current,251
2024-07-21 04:50:15,Current,252
2024-07-21 04:50:16,Current,251
2024-07-21 04:50:17,Current,248
2024-07-21 04:50:18,Current,249
2024-07-21 04:50:19,Current,253
2024-07-21 04:50:20,Current,251
2024-07-21 04:50:21,Current,253
2024-07-21 04:50:23,Current,256
2024-07-21 04:50:24,Current,251
2024-07-21 04:50:25,Current,255
2024-07-21 04:50:26,Current,252
2024-07-21 04:50:27,Current,251
2024-07-21 04:50:28,Current,249
2024-07-21 04:50:29,Current,252
2024-07-21 04:50:30,Current,252
2024-07-21 04:50:31,Current,252
2024-07-21 04:50:32,Current,251
2024-07-21 04:50:33,Current,252
2024-07-21 04:50:34,Current,252
2024-07-21 04:50:35,Current,267
2024-07-21 04:50:36,Current,270
2024-07-21 04:50:37,Current,270
2024-07-21 04:50:39,Current,274
2024-07-21 04:50:40,Current,273
2024-07-21 04:50:41,Current,255
2024-07-21 04:50:42,Current,255
2024-07-21 04:50:43,Current,254
2024-07-21 04:50:44,Current,254
2024-07-21 04:50:45,Current,256
2024-07-21 04:50:46,Current,254
2024-07-21 04:50:47,Current,250
2024-07-21 04:50:48,Current,249
2024-07-21 04:50:49,Current,251
2024-07-21 04:50:50,Current,254
2024-07-21 04:50:51,Current,255
2024-07-21 04:50:52,Current,254
2024-07-21 04:50:53,Current,254
2024-07-21 04:50:54,Current,254
2024-07-21 04:50:56,Current,253
2024-07-21 04:50:57,Current,255
2024-07-21 04:50:58,Current,252
2024-07-21 04:50:59,Current,253
2024-07-21 04:51:00,Current,255
2024-07-21 04:51:01,Current,255
2024-07-21 04:51:02,Current,255
2024-07-21 04:51:03,Current,256
2024-07-21 04:51:04,Current,255
2024-07-21 04:51:05,Current,253
2024-07-21 04:51:06,Current,252
2024-07-21 04:51:07,Current,252
2024-07-21 04:51:08,Current,251
2024-07-21 04:51:09,Current,253
2024-07-21 04:51:10,Current,252
2024-07-21 04:51:12,Current,253
2024-07-21 04:51:13,Current,251
2024-07-21 04:51:14,Current,252
2024-07-21 04:51:15,Current,252
2024-07-21 04:51:16,Current,252
2024-07-21 04:51:17,Current,248
2024-07-21 04:51:18,Current,249
2024-07-21 04:51:19,Current,252
2024-07-21 04:51:20,Current,252
2024-07-21 04:51:21,Current,251
2024-07-21 04:51:22,Current,252
2024-07-21 04:51:23,Current,251
2024-07-21 04:51:24,Current,252
2024-07-21 04:51:25,Current,252
2024-07-21 04:51:26,Current,249
2024-07-21 04:51:27,Current,250
2024-07-21 04:51:29,Current,252
2024-07-21 04:51:30,Current,251
2024-07-21 04:51:31,Current,252
2024-07-21 04:51:32,Current,251
2024-07-21 04:51:33,Current,251
2024-07-21 04:51:34,Current,252
2024-07-21 04:51:35,Current,252
2024-07-21 04:51:36,Current,252
2024-07-21 04:51:37,Current,248
2024-07-21 04:51:38,Current,249
2024-07-21 04:51:39,Current,251
2024-07-21 04:51:40,Current,252
2024-07-21 04:51:41,Current,251
2024-07-21 04:51:42,Current,252
2024-07-21 04:51:43,Current,253
2024-07-21 04:51:44,Current,253
2024-07-21 04:51:46,Current,268
2024-07-21 04:51:47,Current,272
2024-07-21 04:51:48,Current,270
2024-07-21 04:51:49,Current,267
2024-07-21 04:51:50,Current,255
2024-07-21 04:51:51,Current,255
2024-07-21 04:51:52,Current,257
2024-07-21 04:51:53,Current,254
2024-07-21 04:51:54,Current,257
2024-07-21 04:51:55,Current,257
2024-07-21 04:51:56,Current,255
2024-07-21 04:51:57,Current,251
2024-07-21 04:51:58,Current,249
2024-07-21 04:51:59,Current,251
2024-07-21 04:52:00,Current,255
2024-07-21 04:52:02,Current,254
2024-07-21 04:52:03,Current,256
2024-07-21 04:52:04,Current,255
2024-07-21 04:52:05,Current,270
2024-07-21 04:52:06,Current,255
2024-07-21 04:52:07,Current,254
2024-07-21 04:52:08,Current,253
2024-07-21 04:52:09,Current,255
2024-07-21 04:52:10,Current,254
2024-07-21 04:52:11,Current,256
2024-07-21 04:52:12,Current,255
2024-07-21 04:52:13,Current,252
2024-07-21 04:52:14,Current,252
2024-07-21 04:52:15,Current,251
2024-07-21 04:52:17,Current,252
2024-07-21 04:52:18,Current,249
2024-07-21 04:52:19,Current,252
2024-07-21 04:52:20,Current,251
2024-07-21 04:52:21,Current,250
2024-07-21 04:52:22,Current,252
2024-07-21 04:52:23,Current,252
2024-07-21 04:52:24,Current,252
2024-07-21 04:52:25,Current,252
2024-07-21 04:52:26,Current,251
2024-07-21 04:52:27,Current,248
2024-07-21 04:52:28,Current,248
2024-07-21 04:52:29,Current,249
2024-07-21 04:52:30,Current,248
2024-07-21 04:52:31,Current,248
2024-07-21 04:52:32,Current,249
2024-07-21 04:52:34,Current,250
2024-07-21 04:52:35,Current,250
2024-07-21 04:52:36,Current,246
2024-07-21 04:52:37,Current,249
2024-07-21 04:52:38,Current,250
2024-07-21 04:52:39,Current,250
2024-07-21 04:52:40,Current,254
2024-07-21 04:52:41,Current,253
2024-07-21 04:52:42,Current,253
2024-07-21 04:52:43,Current,252
2024-07-21 04:52:44,Current,249
2024-07-21 04:52:45,Current,255
2024-07-21 04:52:46,Current,249
2024-07-21 04:52:47,Current,249
2024-07-21 04:52:48,Current,248
2024-07-21 04:52:49,Current,248
2024-07-21 04:52:51,Current,250
2024-07-21 04:52:52,Current,247
2024-07-21 04:52:53,Current,249
2024-07-21 04:52:54,Current,249
2024-07-21 04:52:55,Current,269
2024-07-21 04:52:56,Current,266
2024-07-21 04:52:57,Current,268
2024-07-21 04:52:58,Current,270
2024-07-21 04:52:59,Current,270
2024-07-21 04:53:00,Current,256
2024-07-21 04:53:01,Current,254
2024-07-21 04:53:02,Current,257
2024-07-21 04:53:03,Current,254
2024-07-21 04:53:04,Current,255
2024-07-21 04:53:05,Current,253
2024-07-21 04:53:06,Current,255
2024-07-21 04:53:08,Current,249
