Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:22:03   0.0   0.0   0.1  99.9   0.0    2   8334   4805    9    9    9 118.16    0.07  57.17   0.09  60.99  0.00 Hz   -N/A-
06:22:04   0.2   0.0   0.1  99.7   0.0    1   8559   5133   21   22   20 118.47    0.07  57.47   0.09  61.01  0.00 Hz   -N/A-
06:22:05   0.0   0.0   0.0 100.0   0.0    1   8338   4521   23   12   25 118.21    0.07  57.20   0.10  61.01  0.00 Hz   -N/A-
06:22:06   0.1   0.0   0.0  99.9   0.0    1   7912   4169    0    0    0 118.22    0.07  57.28   0.09  60.94  0.00 Hz   -N/A-
06:22:07   0.0   0.0   0.0 100.0   0.0    2   7983   4116    1    1    2 118.09    0.07  57.13   0.09  60.95  0.00 Hz   -N/A-
06:22:08   1.1   0.0   1.8  97.1   0.0    4  23461  21225 1363  910 1362 123.03    0.07  58.72   0.12  64.31  0.00 Hz   -N/A-
06:22:09   2.3   0.0   2.1  95.6   0.0    3  22178  21205 1381  926 1380 125.39    0.07  60.65   0.12  64.75  0.00 Hz   -N/A-
06:22:10   2.4   0.0   2.1  95.5   0.0    3  23204  29983 1388  922 1390 125.95    0.07  61.16   0.13  64.78  0.00 Hz   -N/A-
06:22:11   2.3   0.0   2.1  95.6   0.0    3  22924  30308 1358  905 1358 125.77    0.07  61.11   0.13  64.66  0.00 Hz   -N/A-
06:22:12   2.4   0.0   2.1  95.5   0.0    3  23014  29972 1360  907 1361 125.97    0.07  61.29   0.13  64.68  0.00 Hz   -N/A-
06:22:13   2.8   0.0   2.2  95.0   0.0    4  22078  29811 1342  894 1341 126.94    0.07  62.05   1.07  64.89  0.00 Hz   -N/A-
06:22:14   4.1   0.0   2.4  93.5   0.0    4  20705  29868 1349  900 1349 129.18    0.07  64.23   3.26  64.95  0.00 Hz   -N/A-
06:22:15   4.1   0.0   2.4  93.5   0.0    4  20995  30032 1358  905 1358 129.18    0.07  64.23   3.28  64.96  0.00 Hz   -N/A-
06:22:16   4.1   0.0   2.4  93.4   0.0    4  21164  30716 1361  907 1361 129.32    0.07  64.36   3.27  64.96  0.00 Hz   -N/A-
06:22:17   4.0   0.0   2.5  93.5   0.0    4  21025  30447 1362  908 1361 129.16    0.07  64.21   3.27  64.95  0.00 Hz   -N/A-
06:22:18   4.1   0.0   2.5  93.4   0.0    4  20866  29577 1364  909 1366 129.27    0.07  64.32   3.27  64.95  0.00 Hz   -N/A-
06:22:19   4.1   0.0   2.4  93.6   0.0    4  21148  30896 1358  906 1358 129.18    0.07  64.24   3.27  64.95  0.00 Hz   -N/A-
06:22:20   3.7   0.0   1.1  95.2   0.0    3   9166  19060  325  217  327 126.17    0.07  64.18   3.28  61.99  0.00 Hz   -N/A-
06:22:21   2.9   0.0   0.6  96.5   0.0    2   5826  13726    0    0    0 123.94    0.07  62.96   2.32  60.99  0.00 Hz   -N/A-
06:22:22   1.9   0.0   0.4  97.8   0.0    2   6898  12806    1    0    0 121.78    0.07  60.77   0.10  61.00  0.00 Hz   -N/A-
06:22:23   1.8   0.0   0.3  97.9   0.0    2   7083  12837    0    0    0 121.63    0.07  60.64   0.10  60.99  0.00 Hz   -N/A-
06:22:24   1.9   0.0   0.3  97.8   0.0    2   7154  13542    0    0    0 121.79    0.07  60.79   0.10  61.00  0.00 Hz   -N/A-
06:22:25   1.7   0.0   0.4  97.9   0.0    2   7173  13328    0    0    0 121.64    0.07  60.65   0.11  60.99  0.00 Hz   -N/A-
06:22:26   1.9   0.0   0.4  97.7   0.0    2   7613  13817    6    2    5 121.81    0.07  60.80   0.10  61.01  0.00 Hz   -N/A-
06:22:27   1.8   0.0   0.3  97.9   0.0    2   6992  12549    0    0    0 121.65    0.07  60.65   0.10  61.00  0.00 Hz   -N/A-
06:22:28   1.9   0.0   0.4  97.8   0.0    2   7008  14154    0    0    0 121.80    0.07  60.81   0.11  60.99  0.00 Hz   -N/A-
06:22:29   1.8   0.0   0.3  97.9   0.0    2   6865  12888    0    0    0 121.68    0.07  60.65   0.10  61.04  0.00 Hz   -N/A-
06:22:30   1.9   0.0   0.3  97.8   0.0    2   6947  13340    0    0    0 121.82    0.07  60.84   0.10  60.99  0.00 Hz   -N/A-
06:22:31   1.8   0.0   0.3  97.9   0.0    2   7088  13386    0    0    0 121.74    0.07  60.76   0.10  60.98  0.00 Hz   -N/A-
06:22:32   1.9   0.0   0.3  97.8   0.0    2   7103  14028    0    0    0 121.83    0.07  60.84   0.10  60.99  0.00 Hz   -N/A-
06:22:33   2.3   0.0   0.4  97.3   0.0    3   6589  14533    0    0    0 122.63    0.07  61.63   1.05  60.99  0.00 Hz   -N/A-
06:22:34   3.5   0.0   0.8  95.7   0.0    3   5042  14263    0    0    0 125.02    0.07  64.04   3.27  60.98  0.00 Hz   -N/A-
06:22:35   3.5   0.0   0.6  95.8   0.0    3   5044  13852    0    0    0 124.85    0.07  63.87   3.27  60.99  0.00 Hz   -N/A-
06:22:36   3.6   0.0   0.7  95.7   0.0    3   5165  13744    0    0    0 124.98    0.07  63.99   3.26  60.99  0.00 Hz   -N/A-
06:22:37   3.5   0.0   0.6  95.8   0.0    3   4947  11546    0    0    0 124.77    0.07  63.74   3.25  61.03  0.00 Hz   -N/A-
06:22:38   3.6   0.0   0.6  95.7   0.0    3   4094   5168    0    0    0 124.69    0.07  63.73   3.26  60.96  0.00 Hz   -N/A-
06:22:39   3.6   0.0   0.7  95.7   0.0    3   4624   5823    7    7    7 124.73    0.07  63.76   3.27  60.97  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.4   0.0   1.0  96.6   0.0  2.7 11684.0 16896.6 452.4 301.9 452.4 123.80    0.07  61.54   1.33  62.26  0.00 Hz   -N/A-
 GeoMean   0.0   0.0   0.0  96.6   0.0  2.5 9779.5 14218.1  0.0  0.0  0.0 123.75    0.07  61.50   0.43  62.23  0.00 Hz    0.00
  StdDev   1.3   0.0   0.9   2.0   0.0  0.9 7178.8 9062.9 632.4 421.6 632.4   3.36    0.00   2.29   1.48   1.78  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   0.0   0.0   0.0  93.4   0.0  1.0 4094.0 4116.0  0.0  0.0  0.0 118.09    0.07  57.13   0.09  60.94  0.00 Hz   -N/A-
 Maximum   4.1   0.0   2.5 100.0   0.0  4.0 23461.0 30896.0 1388.0 926.0 1390.0 129.32    0.07  64.36   3.28  64.96  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 123.80 Watts on average with standard deviation 3.36  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 37 power measurements)

  Range (Watts)   Count
118.087 - 119.210     5 ##################
119.211 - 120.333     0 
120.334 - 121.457     0 
121.458 - 122.581    11 ########################################
122.582 - 123.704     2 #######
123.705 - 124.828     4 ##############
124.829 - 125.951     6 #####################
125.952 - 127.075     3 ##########
127.076 - 128.198     0 
128.199 - 129.322     6 #####################

Histogram (of 37 CPU utilization measurements)

Range (%CPU)  Count
0.000 - 0.657     5 ##################
0.658 - 1.315     0 
1.316 - 1.973     0 
1.974 - 2.631    11 ########################################
2.632 - 3.289     2 #######
3.290 - 3.947     1 ###
3.948 - 4.605    10 ####################################
4.606 - 5.263     2 #######
5.264 - 5.921     0 
5.922 - 6.579     6 #####################

Range is zero, cannot produce histogram of CPU average frequencies
