Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:02   0.4   0.0   0.1  99.5   0.0    3   7817   4631   11   10   11 118.96    0.07  57.94   0.71  61.02  0.00 Hz   -N/A-
23:22:03   1.9   0.0   0.5  97.7   0.0    2   6573   5085   13   14   12 121.71    0.07  60.58   3.22  61.13  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:04   1.7   0.0   0.4  97.9   0.0    2   6210   4342    7    4    9 121.41    0.07  60.41   3.25  61.00  0.00 Hz   -N/A-
23:22:05   1.9   0.0   0.4  97.7   0.0    2   6144   4513   10   11    8 121.57    0.07  60.58   3.23  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:06   1.8   0.0   0.4  97.9   0.0    3   6232   4361    8    5   11 121.41    0.07  60.42   3.26  60.99  0.00 Hz   -N/A-
23:22:07   2.4   0.0   2.1  95.5   0.0    3  22647  21228 1427  950 1426 125.48    0.07  64.37   3.26  61.11  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:08   2.3   0.0   2.1  95.6   0.0    3  22365  21204 1398  932 1398 125.64    0.07  61.61   3.23  64.04  0.00 Hz   -N/A-
23:22:09   2.4   0.0   2.0  95.6   0.0    3  22179  20889 1387  926 1389 125.96    0.07  60.87   3.22  65.09  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:10   1.9   0.0   2.0  96.1   0.0    2  22611  20880 1387  924 1386 125.21    0.07  60.18   2.62  65.03  0.00 Hz   -N/A-
23:22:11   0.7   0.0   1.7  97.6   0.0    2  24222  21056 1390  927 1390 122.75    0.07  57.71   0.12  65.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:12   0.9   0.0   1.8  97.3   0.0    3  23782  20854 1392  928 1392 123.25    0.07  58.20   0.74  65.05  0.00 Hz   -N/A-
23:22:13   2.4   0.0   2.1  95.6   0.0    3  22129  20996 1389  926 1389 125.90    0.07  60.85   3.22  65.05  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:14   2.3   0.0   2.1  95.6   0.0    3  21961  20920 1365  910 1366 125.54    0.07  60.71   3.22  64.82  0.00 Hz   -N/A-
23:22:15   2.3   0.0   2.1  95.5   0.0    3  21963  20852 1365  910 1364 125.62    0.07  60.86   3.23  64.76  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:16   2.3   0.0   2.1  95.7   0.0    3  21961  20873 1364  909 1364 125.48    0.07  60.72   3.23  64.76  0.00 Hz   -N/A-
23:22:17   2.9   0.0   2.2  94.9   0.0    4  21807  23981 1381  921 1381 126.75    0.57  61.87   3.23  64.88  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:18   3.6   0.0   0.7  95.7   0.0    3   5802  15445   59   40   61 125.14    0.11  63.92   3.25  61.21  0.00 Hz   -N/A-
23:22:19   3.6   0.0   0.7  95.7   0.0    3   5101  14702    1    0    0 125.14    0.07  64.10   3.25  61.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:20   3.2   0.0   0.6  96.2   0.0    2   5458  14327    0    0    0 124.30    0.07  63.26   2.62  61.04  0.00 Hz   -N/A-
23:22:21   1.8   0.0   0.4  97.8   0.0    2   7049  13924    0    0    0 121.91    0.07  60.87   0.11  61.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:22   2.0   0.0   0.5  97.5   0.0    3   6635  13369    0    0    0 122.37    0.07  61.33   0.73  61.03  0.00 Hz   -N/A-
23:22:23   3.5   0.0   0.8  95.7   0.0    3   5312  14885    0    0    0 125.09    0.07  64.05   3.24  61.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:24   3.5   0.0   0.7  95.8   0.0    3   5268  14909    0    0    0 124.93    0.07  63.89   3.25  61.03  0.00 Hz   -N/A-
23:22:25   3.6   0.0   0.7  95.7   0.0    3   5746  15556    6    2    5 125.27    0.07  64.13   3.26  61.13  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:26   3.5   0.0   0.6  95.8   0.0    3   5334  15347    0    0    0 125.05    0.07  64.03   3.27  61.03  0.00 Hz   -N/A-
23:22:27   3.6   0.0   0.7  95.7   0.0    3   5221  14979    0    0    0 125.15    0.07  64.11   3.26  61.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:28   3.5   0.0   0.7  95.8   0.0    3   5243  14549    0    0    0 125.01    0.07  63.98   3.25  61.03  0.00 Hz   -N/A-
23:22:29   3.5   0.0   0.8  95.7   0.0    3   5289  15540    0    0    0 125.20    0.07  64.16   3.25  61.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:30   3.2   0.0   0.6  96.2   0.0    2   5702  14564    0    0    0 124.36    0.07  63.33   2.62  61.03  0.00 Hz   -N/A-
23:22:31   1.8   0.0   0.4  97.8   0.0    2   7230  14420    0    0    0 121.90    0.07  60.87   0.11  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:32   2.1   0.0   0.4  97.5   0.0    3   6612  13586    0    0    0 122.36    0.07  61.35   0.73  61.01  0.00 Hz   -N/A-
23:22:33   3.6   0.0   0.7  95.7   0.0    3   5237  14917    0    0    0 125.22    0.07  64.13   3.25  61.09  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:34   3.5   0.0   0.7  95.8   0.0    3   5187  14919    0    0    0 125.00    0.07  63.97   3.25  61.03  0.00 Hz   -N/A-
23:22:35   3.6   0.0   0.7  95.7   0.0    3   5158  14743    0    0    0 125.17    0.07  64.12   3.23  61.04  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:36   3.5   0.0   0.7  95.8   0.0    3   5291  15031    0    0    0 125.07    0.07  64.04   3.25  61.03  0.00 Hz   -N/A-
23:22:37   3.6   0.0   0.7  95.7   0.0    3   5167  14575    0    0    0 125.17    0.07  64.14   3.26  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:38   3.5   0.0   0.7  95.8   0.0    3   5332  14953    8    4    8 125.08    0.07  64.00   3.26  61.08  0.00 Hz   -N/A-
23:22:39   3.6   0.0   0.7  95.7   0.0    3   5296  14751    0    0    0 125.08    0.07  64.06   3.23  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:40   3.1   0.0   0.7  96.2   0.0    2   5800  15245    0    0    1 124.35    0.07  63.32   2.61  61.02  0.00 Hz   -N/A-
23:22:41   1.9   0.0   0.3  97.8   0.0    2   6957  14184    0    0    0 121.94    0.07  60.91   0.11  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:42   2.1   0.0   0.4  97.5   0.0    3   6772  13820    0    0    0 122.40    0.07  61.37   0.73  61.03  0.00 Hz   -N/A-
