Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:44:07   1.8   0.0   0.4  97.8   0.0    3   6378   4826   10    9   10 121.47    0.07  60.57   3.25  60.91  0.00 Hz   -N/A-
06:44:08   1.9   0.0   0.4  97.7   0.0    2   6903   5514   22   23   21 121.62    0.07  60.44   3.24  61.18  0.00 Hz   -N/A-
06:44:09   1.8   0.0   0.4  97.8   0.0    2   6321   4654   23   12   25 121.49    0.07  60.54   3.26  60.95  0.00 Hz   -N/A-
06:44:10   3.1   0.0   0.6  96.3   0.0    3   4921   6818    0    0    0 123.88    0.07  62.93   3.26  60.94  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.2   0.0   0.5  97.4   0.0  2.5 6130.8 5453.0 13.8 11.0 14.0 122.12    0.07  61.12   3.25  61.00  0.00 Hz   -N/A-
 GeoMean   2.1   0.0   0.4  97.4   0.0  2.4 6083.3 5390.6  0.0  0.0  0.0 122.11    0.07  61.11   3.25  61.00  0.00 Hz    0.00
  StdDev   0.6   0.0   0.1   0.6   0.0  0.5  734.4  851.2  9.4  8.2  9.8   1.02    0.00   1.05   0.01   0.11  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.8   0.0   0.4  96.3   0.0  2.0 4921.0 4654.0  0.0  0.0  0.0 121.47    0.07  60.44   3.24  60.91  0.00 Hz   -N/A-
 Maximum   3.1   0.0   0.6  97.8   0.0  3.0 6903.0 6818.0 23.0 23.0 25.0 123.88    0.07  62.93   3.26  61.18  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 122.12 Watts on average with standard deviation 1.02  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 4 power measurements)

  Range (Watts)   Count
121.474 - 121.713     3 ########################################
121.714 - 121.953     0 
121.954 - 122.194     0 
122.195 - 122.434     0 
122.435 - 122.675     0 
122.676 - 122.915     0 
122.916 - 123.155     0 
123.156 - 123.396     0 
123.397 - 123.636     0 
123.637 - 123.876     1 #############

Histogram (of 4 CPU utilization measurements)

Range (%CPU)  Count
2.230 - 2.375     3 ########################################
2.376 - 2.521     0 
2.522 - 2.668     0 
2.669 - 2.814     0 
2.815 - 2.960     0 
2.961 - 3.107     0 
3.108 - 3.253     0 
3.254 - 3.399     0 
3.400 - 3.546     0 
3.547 - 3.692     1 #############

Range is zero, cannot produce histogram of CPU average frequencies
