Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:40:05   1.9   0.0   0.4  97.7   0.0    3   6367   4747   11   10   11 121.48    0.07  60.51   3.23  60.97  0.00 Hz   -N/A-
06:40:06   1.8   0.0   0.4  97.7   0.0    3   6760   5275   22   23   21 121.45    0.08  60.45   3.21  61.00  0.00 Hz   -N/A-
06:40:07   1.9   0.0   0.4  97.8   0.0    2   6358   4779   23   12   25 121.44    0.07  60.44   3.24  61.00  0.00 Hz   -N/A-
06:40:08   2.0   0.0   0.5  97.5   0.0    4   5827   4323    0    0    0 121.82    0.07  60.83   3.22  60.98  0.00 Hz   -N/A-
06:40:09   3.7   0.0   0.6  95.7   0.0    4   4761   9626    1    1    2 124.69    0.07  63.74   3.23  60.95  0.00 Hz   -N/A-
06:40:10   4.1   0.0   2.3  93.6   0.0    5  21738  30759 1404  936 1402 128.74    0.07  67.65   3.24  61.09  0.00 Hz   -N/A-
06:40:11   2.9   0.0   2.2  94.9   0.0    3  22985  30470 1410  946 1409 126.60    0.08  65.48   0.99  61.13  0.00 Hz   -N/A-
06:40:12   2.3   0.0   2.0  95.7   0.0    3  22521  22993 1384  920 1386 125.44    0.08  60.78   0.12  64.66  0.00 Hz   -N/A-
06:40:13   2.5   0.0   2.0  95.5   0.0    3  21915  20782 1368  912 1368 125.47    0.07  60.77   0.12  64.69  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.6   0.0   1.2  96.2   0.0  3.3 13248.0 14861.6 624.8 417.8 624.9 124.13    0.07  62.30   2.29  61.83  0.00 Hz   -N/A-
 GeoMean   2.5   0.0   0.9  96.2   0.0  3.2 10721.6 10932.1  0.0  0.0  0.0 124.10    0.07  62.25   1.36  61.81  0.00 Hz    0.00
  StdDev   0.8   0.0   0.8   1.4   0.0  0.8 8110.4 10707.5 685.9 456.9 685.6   2.54    0.01   2.53   1.35   1.52  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.8   0.0   0.4  93.6   0.0  2.0 4761.0 4323.0  0.0  0.0  0.0 121.44    0.07  60.44   0.12  60.95  0.00 Hz   -N/A-
 Maximum   4.1   0.0   2.3  97.8   0.0  5.0 22985.0 30759.0 1410.0 946.0 1409.0 128.74    0.08  67.65   3.24  64.69  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 124.13 Watts on average with standard deviation 2.54  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 9 power measurements)

  Range (Watts)   Count
121.440 - 122.169     4 ########################################
122.170 - 122.899     0 
122.900 - 123.629     0 
123.630 - 124.359     0 
124.360 - 125.089     1 ##########
125.090 - 125.819     2 ####################
125.820 - 126.549     0 
126.550 - 127.279     1 ##########
127.280 - 128.009     0 
128.010 - 128.739     1 ##########

Histogram (of 9 CPU utilization measurements)

Range (%CPU)  Count
2.230 - 2.649     4 ########################################
2.650 - 3.070     0 
3.071 - 3.490     0 
3.491 - 3.911     0 
3.912 - 4.332     1 ##########
4.333 - 4.752     2 ####################
4.753 - 5.173     1 ##########
5.174 - 5.593     0 
5.594 - 6.014     0 
6.015 - 6.434     1 ##########

Range is zero, cannot produce histogram of CPU average frequencies
