Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:40:43   1.1   0.0   0.2  98.6   0.0    2   7093   4614    5    5    6 120.17    0.07  59.21   1.98  60.95  0.00 Hz   -N/A-
06:40:44   1.8   0.0   0.5  97.7   0.0    2   6963   5624   26   27   24 121.62    0.07  60.51   3.26  61.12  0.00 Hz   -N/A-
06:40:45   1.9   0.0   0.4  97.8   0.0    2   6343   4582   23   12   25 121.50    0.07  60.51   3.26  60.99  0.00 Hz   -N/A-
06:40:46   1.8   0.0   0.4  97.9   0.0    2   6146   4334    8    4    8 121.30    0.07  60.31   3.24  60.99  0.00 Hz   -N/A-
06:40:47   1.9   0.0   0.4  97.8   0.0    4   6023   4237    1    1    2 121.43    0.07  60.48   3.27  60.95  0.00 Hz   -N/A-
06:40:48   2.5   0.0   1.9  95.6   0.0    4  28231  19695 1734 1156 1733 125.59    0.07  64.52   3.26  61.07  0.00 Hz   -N/A-
06:40:49   4.2   0.0   2.3  93.4   0.0    4  21329  26297 1431  954 1432 128.78    0.07  67.54   3.29  61.25  0.00 Hz   -N/A-
06:40:50   4.0   0.0   2.5  93.5   0.0    4  21188  30535 1362  907 1361 128.94    0.07  64.24   3.28  64.70  0.00 Hz   -N/A-
06:40:51   3.1   0.0   2.2  94.7   0.0    3  22206  30145 1362  908 1361 127.16    0.07  62.46   1.39  64.70  0.00 Hz   -N/A-
06:40:52   2.3   0.0   2.1  95.6   0.0    3  22212  22925 1358  905 1358 125.43    0.07  60.74   0.12  64.69  0.00 Hz   -N/A-
06:40:53   2.5   0.0   2.0  95.5   0.0    3  22289  20838 1381  921 1381 125.51    0.07  61.05   0.12  64.46  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.5   0.0   1.3  96.2   0.0  3.0 15456.6 15802.4 790.1 527.3 790.1 124.31    0.07  61.96   2.41  62.35  0.00 Hz   -N/A-
 GeoMean   2.3   0.0   0.9  96.2   0.0  2.9 12885.9 11569.8 131.7 93.7 142.6 124.27    0.07  61.92   1.60  62.33  0.00 Hz    0.00
  StdDev   0.9   0.0   0.9   1.8   0.0  0.9 8362.4 10634.8 716.7 477.1 716.3   3.07    0.00   2.38   1.24   1.73  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.1   0.0   0.2  93.4   0.0  2.0 6023.0 4237.0  1.0  1.0  2.0 120.17    0.07  59.21   0.12  60.95  0.00 Hz   -N/A-
 Maximum   4.2   0.0   2.5  98.6   0.0  4.0 28231.0 30535.0 1734.0 1156.0 1733.0 128.94    0.07  67.54   3.29  64.70  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 124.31 Watts on average with standard deviation 3.07  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 11 power measurements)

  Range (Watts)   Count
120.167 - 121.044     1 ##########
121.045 - 121.921     4 ########################################
121.922 - 122.798     0 
122.799 - 123.676     0 
123.677 - 124.553     0 
124.554 - 125.430     1 ##########
125.431 - 126.308     2 ####################
126.309 - 127.185     1 ##########
127.186 - 128.062     0 
128.063 - 128.940     2 ####################

Histogram (of 11 CPU utilization measurements)

Range (%CPU)  Count
1.375 - 1.892     1 ##########
1.893 - 2.410     4 ########################################
2.411 - 2.928     0 
2.929 - 3.446     0 
3.447 - 3.964     0 
3.965 - 4.481     2 ####################
4.482 - 4.999     1 ##########
5.000 - 5.517     1 ##########
5.518 - 6.035     0 
6.036 - 6.553     2 ####################

Range is zero, cannot produce histogram of CPU average frequencies
