Timestamp,Sensor,Value
2024-07-28 04:21:45,Current,251
2024-07-28 04:21:46,Current,254
2024-07-28 04:21:47,Current,252
2024-07-28 04:21:48,Current,253
2024-07-28 04:21:49,Current,251
2024-07-28 04:21:51,Current,252
2024-07-28 04:21:52,Current,253
2024-07-28 04:21:53,Current,254
2024-07-28 04:21:54,Current,259
2024-07-28 04:21:55,Current,257
2024-07-28 04:21:56,Current,258
2024-07-28 04:21:57,Current,258
2024-07-28 04:21:58,Current,257
2024-07-28 04:21:59,Current,259
2024-07-28 04:22:00,Current,257
2024-07-28 04:22:01,Current,262
2024-07-28 04:22:02,Current,262
2024-07-28 04:22:03,Current,263
2024-07-28 04:22:04,Current,263
2024-07-28 04:22:05,Current,263
2024-07-28 04:22:07,Current,262
2024-07-28 04:22:08,Current,261
2024-07-28 04:22:09,Current,262
2024-07-28 04:22:10,Current,257
2024-07-28 04:22:11,Current,258
2024-07-28 04:22:12,Current,257
2024-07-28 04:22:13,Current,260
2024-07-28 04:22:14,Current,260
2024-07-28 04:22:15,Current,263
2024-07-28 04:22:16,Current,261
2024-07-28 04:22:17,Current,262
2024-07-28 04:22:18,Current,260
2024-07-28 04:22:19,Current,259
2024-07-28 04:22:20,Current,257
2024-07-28 04:22:21,Current,256
2024-07-28 04:22:22,Current,257
2024-07-28 04:22:24,Current,257
2024-07-28 04:22:25,Current,257
2024-07-28 04:22:26,Current,257
2024-07-28 04:22:27,Current,257
2024-07-28 04:22:28,Current,255
2024-07-28 04:22:29,Current,257
2024-07-28 04:22:30,Current,257
2024-07-28 04:22:31,Current,254
2024-07-28 04:22:32,Current,256
2024-07-28 04:22:33,Current,261
2024-07-28 04:22:34,Current,258
2024-07-28 04:22:35,Current,262
2024-07-28 04:22:36,Current,258
2024-07-28 04:22:37,Current,258
2024-07-28 04:22:38,Current,256
2024-07-28 04:22:40,Current,259
2024-07-28 04:22:41,Current,255
2024-07-28 04:22:42,Current,257
2024-07-28 04:22:43,Current,257
2024-07-28 04:22:44,Current,257
2024-07-28 04:22:45,Current,258
2024-07-28 04:22:46,Current,256
2024-07-28 04:22:47,Current,257
2024-07-28 04:22:48,Current,256
2024-07-28 04:22:49,Current,257
2024-07-28 04:22:50,Current,257
2024-07-28 04:22:51,Current,275
2024-07-28 04:22:52,Current,278
2024-07-28 04:22:53,Current,282
2024-07-28 04:22:54,Current,281
2024-07-28 04:22:56,Current,262
2024-07-28 04:22:57,Current,261
