Timestamp,Sensor,Value
2024-07-28 05:34:21,Current,250
2024-07-28 05:34:22,Current,252
2024-07-28 05:34:23,Current,252
2024-07-28 05:34:24,Current,255
2024-07-28 05:34:25,Current,255
2024-07-28 05:34:26,Current,256
2024-07-28 05:34:28,Current,261
2024-07-28 05:34:29,Current,256
2024-07-28 05:34:30,Current,262
2024-07-28 05:34:31,Current,257
2024-07-28 05:34:32,Current,262
2024-07-28 05:34:33,Current,260
2024-07-28 05:34:34,Current,261
2024-07-28 05:34:35,Current,259
2024-07-28 05:34:36,Current,261
2024-07-28 05:34:37,Current,261
2024-07-28 05:34:38,Current,261
2024-07-28 05:34:39,Current,257
2024-07-28 05:34:40,Current,262
2024-07-28 05:34:41,Current,254
2024-07-28 05:34:42,Current,258
2024-07-28 05:34:43,Current,256
2024-07-28 05:34:45,Current,261
2024-07-28 05:34:46,Current,257
2024-07-28 05:34:47,Current,261
2024-07-28 05:34:48,Current,256
2024-07-28 05:34:49,Current,261
2024-07-28 05:34:50,Current,257
2024-07-28 05:34:51,Current,261
2024-07-28 05:34:52,Current,256
2024-07-28 05:34:53,Current,257
2024-07-28 05:34:54,Current,256
2024-07-28 05:34:55,Current,259
2024-07-28 05:34:56,Current,256
