Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:49:38   1.9   0.0   0.4  97.7   0.0    3   6326   4773   10    9   10 123.59    0.07  61.76   3.65  61.83  0.00 Hz   -N/A-
03:49:39   1.8   0.0   0.4  97.9   0.0    2   6148   4419    6    7    5 123.42    0.07  61.62   3.66  61.80  0.00 Hz   -N/A-
03:49:40   1.9   0.0   0.4  97.7   0.0    2   6143   4560    7    4    9 123.57    0.07  61.77   3.66  61.80  0.00 Hz   -N/A-
03:49:41   1.6   0.0   0.4  98.0   0.0    3   6226   4850    0    0    0 123.19    0.07  61.42   1.51  61.77  0.00 Hz   -N/A-
03:49:42   1.9   0.0   0.3  97.8   0.0    3   5964   4495    3    1    3 124.45    0.07  62.22   0.14  62.23  0.00 Hz   -N/A-
03:49:43   2.3   0.0   1.8  95.8   0.0    4  22331  20275 1395  933 1396 127.39    0.07  65.28   0.16  62.12  0.00 Hz   -N/A-
03:49:44   2.7   0.0   0.5  96.8   0.0    3   5286   4693    6    7    5 125.11    0.07  63.31   1.67  61.80  0.00 Hz   -N/A-
03:49:45   3.6   0.0   0.6  95.8   0.0    3   4216   4782    7    4    9 126.93    0.07  65.13   3.68  61.80  0.00 Hz   -N/A-
03:49:46   3.7   0.0   0.6  95.7   0.0    3   3990   4828    0    0    0 127.12    0.07  65.35   3.67  61.77  0.00 Hz   -N/A-
03:49:47   3.6   0.0   0.6  95.8   0.0    3   4427   5047    0    0    0 126.97    0.07  65.12   3.67  61.84  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.5   0.0   0.6  96.9   0.0  2.9 7105.7 6272.2 143.4 96.5 143.7 125.17    0.07  63.30   2.55  61.88  0.00 Hz   -N/A-
 GeoMean   2.4   0.0   0.5  96.9   0.0  2.8 6154.6 5453.0  0.0  0.0  0.0 125.16    0.07  63.28   1.63  61.88  0.00 Hz    0.00
  StdDev   0.8   0.0   0.4   1.0   0.0  0.5 5146.7 4670.9 417.2 278.9 417.4   1.66    0.00   1.64   1.44   0.15  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.6   0.0   0.3  95.7   0.0  2.0 3990.0 4419.0  0.0  0.0  0.0 123.19    0.07  61.42   0.14  61.77  0.00 Hz   -N/A-
 Maximum   3.7   0.0   1.8  98.0   0.0  4.0 22331.0 20275.0 1395.0 933.0 1396.0 127.39    0.07  65.35   3.68  62.23  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 125.17 Watts on average with standard deviation 1.66  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 10 power measurements)

  Range (Watts)   Count
123.194 - 123.613     4 ########################################
123.614 - 124.033     0 
124.034 - 124.453     1 ##########
124.454 - 124.873     0 
124.874 - 125.293     1 ##########
125.294 - 125.713     0 
125.714 - 126.133     0 
126.134 - 126.554     0 
126.555 - 126.974     2 ####################
126.975 - 127.394     2 ####################

Histogram (of 10 CPU utilization measurements)

Range (%CPU)  Count
2.001 - 2.229     3 ##############################
2.230 - 2.458     2 ####################
2.459 - 2.688     0 
2.689 - 2.917     0 
2.918 - 3.146     0 
3.147 - 3.375     1 ##########
3.376 - 3.605     0 
3.606 - 3.834     0 
3.835 - 4.063     0 
4.064 - 4.292     4 ########################################

Range is zero, cannot produce histogram of CPU average frequencies
