Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:50:04   1.8   0.0   0.4  97.8   0.0    3   6389   4893   10   10   10 123.46    0.07  61.64   3.62  61.82  0.00 Hz   -N/A-
03:50:05   1.9   0.0   0.4  97.7   0.0    3   6471   5096   13   14   12 123.64    0.07  61.83   3.66  61.81  0.00 Hz   -N/A-
03:50:06   1.8   0.0   0.3  97.9   0.0    2   6170   4375    7    4    9 123.43    0.07  61.66   3.67  61.78  0.00 Hz   -N/A-
03:50:07   1.8   0.0   0.4  97.8   0.0    3   6012   4226    0    0    0 123.40    0.07  61.64   3.65  61.76  0.00 Hz   -N/A-
03:50:08   3.5   0.0   0.6  95.9   0.0    4   4292   5776    2    1    2 127.89    0.07  65.66   3.67  62.24  0.00 Hz   -N/A-
03:50:09   4.2   0.0   1.9  93.9   0.0    3  21758  18127 1413  946 1413 130.97    0.29  67.71   3.68  63.26  0.00 Hz   -N/A-
03:50:10   3.6   0.0   0.7  95.7   0.0    4   4117   5355    0    0    1 127.14    0.07  65.37   3.67  61.77  0.00 Hz   -N/A-
03:50:11   3.6   0.0   0.6  95.7   0.0    4   4308   5543    7    4    8 127.11    0.07  65.34   3.67  61.77  0.00 Hz   -N/A-
03:50:12   2.2   0.0   0.3  97.5   0.0    3   5599   4223    0    0    0 124.11    0.07  62.36   0.78  61.75  0.00 Hz   -N/A-
03:50:13   3.7   0.0   0.5  95.7   0.0    4   4066   4605    0    0    0 127.06    0.07  65.31   3.68  61.76  0.00 Hz   -N/A-
03:50:14   3.6   0.0   0.7  95.8   0.0    3   4071   4785    0    0    0 127.02    0.07  65.25   3.68  61.77  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:50:15   3.6   0.0   0.6  95.7   0.0    3   4150   5060    0    0    0 127.01    0.07  65.25   3.68  61.76  0.00 Hz   -N/A-
03:50:16   2.9   0.0   0.5  96.6   0.0    2   4847   4686    0    0    0 125.59    0.07  63.82   3.67  61.77  0.00 Hz   -N/A-
03:50:17   1.8   0.0   0.4  97.8   0.0    3   5974   4180    0    0    0 123.40    0.07  61.63   3.65  61.76  0.00 Hz   -N/A-
03:50:18   1.8   0.0   0.4  97.9   0.0    2   5984   4168    0    0    0 123.47    0.07  61.64   3.64  61.82  0.00 Hz   -N/A-
03:50:19   1.9   0.0   0.3  97.9   0.0    3   6046   4237    0    0    0 123.45    0.07  61.68   3.66  61.76  0.00 Hz   -N/A-
03:50:20   1.6   0.0   0.3  98.1   0.0    1   6457   4302    0    0    0 122.85    0.07  61.07   3.06  61.78  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.7   0.0   0.6  96.8   0.0  2.9 6277.1 5508.1 85.4 57.6 85.6 125.35    0.08  63.46   3.46  61.89  0.00 Hz   -N/A-
 GeoMean   2.5   0.0   0.5  96.8   0.0  2.8 5677.1 5081.4  0.0  0.0  0.0 125.33    0.07  63.43   3.31  61.89  0.00 Hz    0.00
  StdDev   0.9   0.0   0.4   1.2   0.0  0.8 3980.3 3192.9 331.9 222.1 331.9   2.24    0.05   2.02   0.68   0.36  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.6   0.0   0.3  93.9   0.0  1.0 4066.0 4168.0  0.0  0.0  0.0 122.85    0.07  61.07   0.78  61.75  0.00 Hz   -N/A-
 Maximum   4.2   0.0   1.9  98.1   0.0  4.0 21758.0 18127.0 1413.0 946.0 1413.0 130.97    0.29  67.71   3.68  63.26  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 125.35 Watts on average with standard deviation 2.24  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 17 power measurements)

  Range (Watts)   Count
122.852 - 123.663     8 ########################################
123.664 - 124.475     1 #####
124.476 - 125.287     0 
125.288 - 126.099     1 #####
126.100 - 126.911     0 
126.912 - 127.723     5 #########################
127.724 - 128.535     1 #####
128.536 - 129.348     0 
129.349 - 130.160     0 
130.161 - 130.972     1 #####

Histogram (of 17 CPU utilization measurements)

Range (%CPU)  Count
1.854 - 2.279     7 ########################################
2.280 - 2.705     2 ###########
2.706 - 3.131     0 
3.132 - 3.557     1 #####
3.558 - 3.983     0 
3.984 - 4.409     6 ##################################
4.410 - 4.835     0 
4.836 - 5.261     0 
5.262 - 5.687     0 
5.688 - 6.113     1 #####

Range is zero, cannot produce histogram of CPU average frequencies
