Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:47:41   1.9   0.0   0.3  97.8   0.0    4   6405   4985   10    9   10 123.50    0.07  61.66   0.20  61.84  0.00 Hz   -N/A-
03:47:42   2.0   0.0   0.3  97.7   0.0    2   6394   5200   13   14   12 123.84    0.07  62.02   0.14  61.82  0.00 Hz   -N/A-
03:47:43   3.1   0.0   0.6  96.3   0.0    3   4783   5122    7    4    9 126.19    0.08  64.38   3.62  61.81  0.00 Hz   -N/A-
03:47:44   3.6   0.0   0.6  95.9   0.0    3   4211   4990    0    0    0 126.88    0.07  65.11   3.70  61.77  0.00 Hz   -N/A-
03:47:45   3.6   0.0   0.6  95.8   0.0    4   4246   4639    6    4    6 126.99    0.07  65.21   3.72  61.78  0.00 Hz   -N/A-
03:47:46   4.2   0.0   1.7  94.1   0.0    4  21906  16080 1383  924 1384 130.62    0.08  65.58   3.71  65.04  0.00 Hz   -N/A-
03:47:47   3.6   0.0   0.6  95.8   0.0    3   4341   5530    6    7    5 127.04    0.07  65.23   3.70  61.81  0.00 Hz   -N/A-
03:47:48   3.7   0.0   0.6  95.7   0.0    3   4120   5383    7    4    9 127.23    0.07  65.44   3.71  61.79  0.00 Hz   -N/A-
03:47:49   3.0   0.0   0.9  96.1   0.0    3   4651  12925    0    0    0 129.62    0.07  66.84   3.71  62.78  0.00 Hz   -N/A-
03:47:50   3.7   0.0   0.6  95.7   0.0    3   4004   4974    0    0    0 127.30    0.07  65.48   3.69  61.82  0.00 Hz   -N/A-
03:47:51   3.5   0.0   0.6  95.8   0.0    3   4219   5077    0    0    0 126.94    0.07  65.16   3.71  61.78  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:47:52   2.3   0.0   0.3  97.4   0.0    2   5532   4301    0    0    0 124.33    0.07  62.57   0.81  61.76  0.00 Hz   -N/A-
03:47:53   3.5   0.0   0.6  95.9   0.0    3   4155   4616    0    0    0 126.89    0.08  65.11   3.63  61.78  0.00 Hz   -N/A-
03:47:54   3.7   0.0   0.6  95.7   0.0    3   4393   5054    1    0    0 127.19    0.07  65.41   3.68  61.79  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   3.3   0.0   0.6  96.1   0.0  3.1 5954.3 6348.3 102.4 69.0 102.5 126.75    0.07  64.66   2.98  62.10  0.00 Hz   -N/A-
 GeoMean   3.2   0.0   0.6  96.1   0.0  3.0 5211.0 5795.1  0.0  0.0  0.0 126.74    0.07  64.64   2.13  62.09  0.00 Hz    0.00
  StdDev   0.7   0.0   0.3   0.9   0.0  0.6 4492.2 3395.2 355.2 237.2 355.5   1.88    0.00   1.44   1.36   0.85  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.9   0.0   0.3  94.1   0.0  2.0 4004.0 4301.0  0.0  0.0  0.0 123.50    0.07  61.66   0.14  61.76  0.00 Hz   -N/A-
 Maximum   4.2   0.0   1.7  97.8   0.0  4.0 21906.0 16080.0 1383.0 924.0 1384.0 130.62    0.08  66.84   3.72  65.04  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 126.75 Watts on average with standard deviation 1.88  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 14 power measurements)

  Range (Watts)   Count
123.504 - 124.215     2 ################
124.216 - 124.927     1 ########
124.928 - 125.638     0 
125.639 - 126.350     1 ########
126.351 - 127.061     5 ########################################
127.062 - 127.773     3 ########################
127.774 - 128.484     0 
128.485 - 129.196     0 
129.197 - 129.908     1 ########
129.909 - 130.619     1 ########

Histogram (of 14 CPU utilization measurements)

Range (%CPU)  Count
2.208 - 2.577     2 ##########
2.578 - 2.947     1 #####
2.948 - 3.316     0 
3.317 - 3.686     0 
3.687 - 4.055     2 ##########
4.056 - 4.425     8 ########################################
4.426 - 4.795     0 
4.796 - 5.164     0 
5.165 - 5.534     0 
5.535 - 5.903     1 #####

Range is zero, cannot produce histogram of CPU average frequencies
