Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:48:12   0.6   0.0   0.2  99.2   0.0    2   7681   4770    9    9   10 121.24    0.07  59.41   1.20  61.84  0.00 Hz   -N/A-
03:48:13   1.5   0.0   0.3  98.1   0.0    2   6431   4464    6    7    5 122.95    0.08  61.13   3.21  61.82  0.00 Hz   -N/A-
03:48:14   1.9   0.0   0.4  97.7   0.0    2   6024   4419    7    4    9 123.61    0.07  61.81   3.67  61.80  0.00 Hz   -N/A-
03:48:15   2.3   0.0   0.5  97.3   0.0    3   5614   4801    0    0    0 124.46    0.07  62.63   3.68  61.83  0.00 Hz   -N/A-
03:48:16   3.7   0.0   0.6  95.7   0.0    4   4089   4865    4    3    4 127.13    0.07  65.40   3.68  61.72  0.00 Hz   -N/A-
03:48:17   4.0   0.0   1.9  94.0   0.0    4  21308  18692 1388  927 1389 130.89    0.69  67.09   3.70  63.80  0.00 Hz   -N/A-
03:48:18   3.7   0.0   0.6  95.6   0.0    3   4170   5587    6    7    5 127.26    0.07  65.45   3.70  61.81  0.00 Hz   -N/A-
03:48:19   3.5   0.0   0.7  95.8   0.0    3   4349   5340    7    4    9 127.04    0.07  65.23   3.70  61.81  0.00 Hz   -N/A-
03:48:20   3.3   0.0   0.8  95.9   0.0    4   4496  11271    0    0    0 129.26    0.07  66.71   3.71  62.55  0.00 Hz   -N/A-
03:48:21   1.9   0.0   0.4  97.7   0.0    2   5919   5992    0    0    0 125.41    0.07  62.93   0.59  62.48  0.00 Hz   -N/A-
03:48:22   2.0   0.0   0.3  97.8   0.0    2   5889   4203    0    0    0 123.57    0.07  61.80   0.14  61.77  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
03:48:23   1.8   0.0   0.3  97.9   0.0    2   6135   4237    0    0    0 123.35    0.07  61.58   0.14  61.77  0.00 Hz   -N/A-
03:48:24   3.1   0.0   0.5  96.3   0.0    3   4571   4642    0    0    0 126.15    0.07  64.32   2.64  61.83  0.00 Hz   -N/A-
03:48:25   3.6   0.0   0.6  95.8   0.0    3   4113   4752    0    0    0 126.92    0.07  65.21   3.71  61.71  0.00 Hz   -N/A-
03:48:26   3.6   0.0   0.7  95.7   0.0    3   4030   4946    0    0    0 127.25    0.07  65.41   3.70  61.83  0.00 Hz   -N/A-
03:48:27   3.6   0.0   0.5  95.8   0.0    3   4238   5028    0    0    0 127.04    0.07  65.26   3.71  61.77  0.00 Hz   -N/A-
03:48:28   3.7   0.0   0.6  95.7   0.0    3   4042   5088    0    0    0 127.21    0.07  65.44   3.71  61.77  0.00 Hz   -N/A-
03:48:29   3.5   0.0   0.6  95.8   0.0    3   4134   5061    0    0    0 127.01    0.07  65.24   3.71  61.76  0.00 Hz   -N/A-
03:48:30   3.6   0.0   0.7  95.7   0.0    3   4387   5301    0    0    0 127.33    0.07  65.54   3.70  61.79  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.9   0.0   0.6  96.5   0.0  2.8 5874.7 5971.5 75.1 50.6 75.3 126.05    0.10  64.08   2.95  61.97  0.00 Hz   -N/A-
 GeoMean   2.7   0.0   0.5  96.5   0.0  2.8 5309.6 5484.0  0.0  0.0  0.0 126.03    0.08  64.05   2.18  61.97  0.00 Hz    0.00
  StdDev   1.0   0.0   0.4   1.2   0.0  0.7 3781.7 3344.7 309.5 206.6 309.7   2.29    0.14   2.07   1.30   0.49  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   0.6   0.0   0.2  94.0   0.0  2.0 4030.0 4203.0  0.0  0.0  0.0 121.24    0.07  59.41   0.14  61.71  0.00 Hz   -N/A-
 Maximum   4.0   0.0   1.9  99.2   0.0  4.0 21308.0 18692.0 1388.0 927.0 1389.0 130.89    0.69  67.09   3.71  63.80  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 126.05 Watts on average with standard deviation 2.29  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 19 power measurements)

  Range (Watts)   Count
121.243 - 122.206     1 #####
122.207 - 123.171     1 #####
123.172 - 124.136     3 #################
124.137 - 125.101     1 #####
125.102 - 126.066     1 #####
126.067 - 127.031     3 #################
127.032 - 127.995     7 ########################################
127.996 - 128.960     0 
128.961 - 129.925     1 #####
129.926 - 130.890     1 #####

Histogram (of 19 CPU utilization measurements)

Range (%CPU)  Count
0.813 - 1.329     1 ####
1.330 - 1.847     0 
1.848 - 2.365     5 ####################
2.366 - 2.882     1 ####
2.883 - 3.400     0 
3.401 - 3.918     1 ####
3.919 - 4.435    10 ########################################
4.436 - 4.953     0 
4.954 - 5.471     0 
5.472 - 5.988     1 ####

Range is zero, cannot produce histogram of CPU average frequencies
