Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:44:09   1.9   0.0   0.4  97.7   0.0    3   6335   4787    9    9    9 123.53    0.07  61.77   3.66  61.76  0.00 Hz   -N/A-
06:44:10   3.0   0.0   0.6  96.5   0.0    3   5830   6876   23   24   22 125.82    0.06  63.88   3.67  61.93  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:44:11   3.2   0.0   0.5  96.3   0.0    2   5361   7038   27   14   29 126.20    0.07  64.40   2.63  61.80  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Average   2.7   0.0   0.5  96.8   0.0  2.7 5842.0 6233.7 19.7 15.7 20.0 125.19    0.07  63.35   3.32  61.83  0.00 Hz   -N/A-
 GeoMean   2.6   0.0   0.5  96.8   0.0  2.6 5828.5 6141.6 17.7 14.5 17.9 125.18    0.07  63.34   3.28  61.83  0.00 Hz    0.00
  StdDev   0.6   0.0   0.1   0.6   0.0  0.5  397.7 1025.1  7.7  6.2  8.3   1.18    0.00   1.14   0.48   0.07  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
 Minimum   1.9   0.0   0.4  96.3   0.0  2.0 5361.0 4787.0  9.0  9.0  9.0 123.53    0.06  61.77   2.63  61.76  0.00 Hz   -N/A-
 Maximum   3.2   0.0   0.6  97.7   0.0  3.0 6335.0 7038.0 27.0 24.0 29.0 126.20    0.07  64.40   3.67  61.93  0.00 Hz   -N/A-
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------  ------ ------ ------ ------ --------- ------
Summary:
CPU: 125.19 Watts on average with standard deviation 1.18  
GPU:   0.00 Watts on average with standard deviation 0.00  
Note: power read from RAPL domains: core, package-0, core, package-1.
These readings do not cover all the hardware in this device.
Note: No thermal zones on this device.

Histogram (of 3 power measurements)

  Range (Watts)   Count
123.534 - 123.800     1 ########################################
123.801 - 124.067     0 
124.068 - 124.334     0 
124.335 - 124.601     0 
124.602 - 124.868     0 
124.869 - 125.135     0 
125.136 - 125.402     0 
125.403 - 125.669     0 
125.670 - 125.936     1 ########################################
125.937 - 126.203     1 ########################################

Histogram (of 3 CPU utilization measurements)

Range (%CPU)  Count
2.292 - 2.433     1 ########################################
2.434 - 2.575     0 
2.576 - 2.717     0 
2.718 - 2.859     0 
2.860 - 3.000     0 
3.001 - 3.142     0 
3.143 - 3.284     0 
3.285 - 3.426     0 
3.427 - 3.568     1 ########################################
3.569 - 3.710     1 ########################################

Range is zero, cannot produce histogram of CPU average frequencies
