Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:09   0.1   0.0   0.0  99.8   0.0    2   7777   4067    0    0    0 120.10    0.07  58.28   0.13  61.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:10   3.0   0.0   0.6  96.4   0.0    4   4629   4462    0    0    0 126.17    0.07  64.37   3.37  61.81  0.00 Hz   -N/A-
23:12:11   3.7   0.0   0.6  95.7   0.0    4   4067   4848    0    0    0 127.50    0.07  65.70   3.78  61.80  0.00 Hz   -N/A-
23:12:12   3.5   0.0   0.7  95.8   0.0    4   4148   4778    0    0    0 127.35    0.07  65.47   3.77  61.88  0.00 Hz   -N/A-
23:12:13   3.7   0.0   0.6  95.7   0.0    4   4031   5044    0    0    0 127.49    0.07  65.73   3.78  61.76  0.00 Hz   -N/A-
23:12:14   3.5   0.0   0.6  95.8   0.0    4   4114   5018    0    0    0 127.44    0.07  65.58   3.80  61.86  0.00 Hz   -N/A-
23:12:15   3.7   0.0   0.6  95.7   0.0    4   4063   5115    0    0    0 127.58    0.07  65.76   3.78  61.82  0.00 Hz   -N/A-
23:12:16   3.5   0.0   0.7  95.8   0.0    4   4139   5096    0    0    0 127.35    0.08  65.53   3.79  61.82  0.00 Hz   -N/A-
23:12:17   3.7   0.0   0.6  95.7   0.0    5   3970   5039    0    0    0 127.59    0.07  65.78   3.79  61.81  0.00 Hz   -N/A-
23:12:18   0.5   0.0   0.1  99.4   0.0    2   7415   4225    0    0    1 120.95    0.07  59.15   0.54  61.80  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:19   1.2   0.0   0.3  98.5   0.0    3   6692   4204    0    0    0 122.39    0.07  60.59   2.41  61.81  0.00 Hz   -N/A-
23:12:20   3.1   0.0   0.6  96.2   0.0    4   4696   6288    0    0    0 127.59    0.07  65.29   3.77  62.29  0.00 Hz   -N/A-
23:12:21   3.7   0.0   0.7  95.6   0.0    4   4035   5156    0    0    0 127.42    0.07  65.61   3.77  61.82  0.00 Hz   -N/A-
23:12:22   3.5   0.0   0.7  95.8   0.0    4   4089   5034    0    0    0 127.32    0.07  65.46   3.76  61.86  0.00 Hz   -N/A-
23:12:23   3.6   0.0   0.7  95.7   0.0    4   4133   5173    0    0    0 127.54    0.07  65.72   3.76  61.82  0.00 Hz   -N/A-
23:12:24   3.5   0.0   0.6  95.8   0.0    3   4117   4942    0    0    0 127.36    0.07  65.55   3.76  61.81  0.00 Hz   -N/A-
23:12:25   3.5   0.0   0.8  95.7   0.0    4   4315   8943    0    0    0 129.44    0.07  66.93   3.78  62.51  0.00 Hz   -N/A-
23:12:26   3.4   0.0   0.8  95.8   0.0    4   4490   9070    0    0    0 129.33    0.08  66.71   3.77  62.62  0.00 Hz   -N/A-
23:12:27   2.6   0.0   0.4  97.0   0.0    3   5275   4586    0    0    0 125.12    0.07  63.32   1.49  61.81  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:28   1.9   0.0   0.3  97.9   0.0    3   6045   4167    0    0    0 123.62    0.07  61.80   0.14  61.82  0.00 Hz   -N/A-
23:12:29   2.0   0.0   0.3  97.8   0.0    3   5940   4205    0    0    0 123.85    0.07  62.02   0.14  61.83  0.00 Hz   -N/A-
23:12:30   3.3   0.0   0.6  96.0   0.0    4   4303   4430    0    0    0 126.87    0.07  65.05   3.38  61.82  0.00 Hz   -N/A-
23:12:31   3.7   0.0   0.6  95.7   0.0    4   4095   4957    0    0    0 127.52    0.07  65.71   3.79  61.81  0.00 Hz   -N/A-
23:12:32   3.6   0.0   0.6  95.8   0.0    3   4095   4961    0    0    0 127.37    0.07  65.49   3.78  61.87  0.00 Hz   -N/A-
23:12:33   3.6   0.0   0.7  95.7   0.0    4   4064   5162    0    0    0 127.61    0.07  65.79   3.78  61.82  0.00 Hz   -N/A-
23:12:34   2.1   0.0   0.4  97.5   0.0    2   5627   4286    0    0    0 124.29    0.07  62.48   3.76  61.81  0.00 Hz   -N/A-
23:12:35   1.9   0.0   0.4  97.8   0.0    3   5971   4242    0    0    0 123.78    0.07  61.97   3.76  61.81  0.00 Hz   -N/A-
