Timestamp,Sensor,Value
2024-07-09 12:49:41,Current,103
2024-07-09 12:49:42,Current,104
2024-07-09 12:49:43,Current,104
2024-07-09 12:49:44,Current,104
2024-07-09 12:49:46,Current,104
2024-07-09 12:49:47,Current,103
2024-07-09 12:49:48,Current,113
2024-07-09 12:49:49,Current,113
2024-07-09 12:49:50,Current,113
2024-07-09 12:49:51,Current,112
2024-07-09 12:49:52,Current,112
2024-07-09 12:49:53,Current,113
2024-07-09 12:49:54,Current,113
2024-07-09 12:49:55,Current,113
2024-07-09 12:49:56,Current,113
2024-07-09 12:49:57,Current,113
2024-07-09 12:49:58,Current,114
2024-07-09 12:50:00,Current,113
2024-07-09 12:50:01,Current,114
2024-07-09 12:50:02,Current,114
2024-07-09 12:50:03,Current,112
2024-07-09 12:50:04,Current,112
2024-07-09 12:50:05,Current,113
2024-07-09 12:50:06,Current,113
2024-07-09 12:50:07,Current,113
2024-07-09 12:50:08,Current,110
2024-07-09 12:50:09,Current,113
2024-07-09 12:50:10,Current,113
2024-07-09 12:50:11,Current,113
2024-07-09 12:50:12,Current,114
2024-07-09 12:50:14,Current,113
2024-07-09 12:50:15,Current,113
2024-07-09 12:50:16,Current,113
2024-07-09 12:50:17,Current,113
2024-07-09 12:50:18,Current,113
2024-07-09 12:50:19,Current,111
2024-07-09 12:50:20,Current,113
2024-07-09 12:50:21,Current,113
2024-07-09 12:50:22,Current,113
2024-07-09 12:50:23,Current,114
2024-07-09 12:50:24,Current,113
2024-07-09 12:50:25,Current,112
2024-07-09 12:50:27,Current,113
2024-07-09 12:50:28,Current,113
2024-07-09 12:50:29,Current,113
2024-07-09 12:50:30,Current,110
2024-07-09 12:50:31,Current,113
2024-07-09 12:50:32,Current,113
2024-07-09 12:50:33,Current,113
2024-07-09 12:50:34,Current,113
2024-07-09 12:50:35,Current,113
2024-07-09 12:50:36,Current,113
2024-07-09 12:50:37,Current,113
2024-07-09 12:50:38,Current,113
2024-07-09 12:50:39,Current,113
