, Time,RAMWatt,Time Elapsed
0,1720419542.501974,20.87,0.0
1,1720419543.504355,20.89,1.0
2,1720419544.506769,20.87,2.0
3,1720419545.508934,20.89,3.0
4,1720419546.510154,20.85,4.0
5,1720419547.512377,20.89,5.0
6,1720419548.514602,20.9,6.0
7,1720419549.516933,20.9,7.0
8,1720419550.519224,20.89,8.0
9,1720419551.521308,20.89,9.0
10,1720419552.523249,20.94,10.0
11,1720419553.525458,20.92,11.0
12,1720419554.527677,20.87,12.0
13,1720419555.529798,20.87,13.0
14,1720419556.53203,20.88,14.0
15,1720419557.533422,20.94,15.0
16,1720419558.536078,21.97,16.0
17,1720419559.538391,20.97,17.0
18,1720419560.540825,20.98,18.0
19,1720419561.543161,20.93,19.0
20,1720419562.545511,20.97,20.0
21,1720419563.547537,20.97,21.0
22,1720419564.549863,20.98,22.0
23,1720419565.552166,20.98,23.0
24,1720419566.554441,20.97,24.0
25,1720419567.556491,21.02,25.0
26,1720419568.558829,20.94,26.0
27,1720419569.561096,20.83,27.0
28,1720419570.563532,20.87,28.0
29,1720419571.565533,20.86,29.0
30,1720419572.567684,20.88,30.0
31,1720419573.569687,20.87,31.0
32,1720419574.57198,20.88,32.0
33,1720419575.57407,20.87,33.0
34,1720419576.576226,20.91,34.0
35,1720419577.578448,20.86,35.0
36,1720419578.58075,20.89,36.0
37,1720419579.58284,20.85,37.0
38,1720419580.585097,20.88,38.0
39,1720419581.587122,20.89,39.0
40,1720419582.589539,20.88,40.0
41,1720419583.591842,20.86,41.0
42,1720419584.594109,20.82,42.0
43,1720419585.596333,20.88,43.0
44,1720419586.598768,20.89,44.0
45,1720419587.601009,20.87,45.0
46,1720419588.603314,20.87,46.0
47,1720419589.605486,20.83,47.0
48,1720419590.607798,20.86,48.0
49,1720419591.610069,20.86,49.0
50,1720419592.612372,20.92,50.0
51,1720419593.61458,20.89,51.0
52,1720419594.616995,20.85,52.0
53,1720419595.619226,20.84,53.0
54,1720419596.62151,20.87,54.0
55,1720419597.623504,20.9,55.0
56,1720419598.625876,20.87,56.0
57,1720419599.628101,20.86,57.0
58,1720419600.630429,20.89,58.0
59,1720419601.63274,20.8,59.0
60,1720419602.634928,20.87,60.0
61,1720419603.637159,20.86,61.0
62,1720419604.639514,20.93,62.0
63,1720419605.64149,20.82,63.0
64,1720419606.643636,20.9,64.0
65,1720419607.645648,21.96,65.0
66,1720419608.648072,21.91,66.0
67,1720419609.650322,21.92,67.0
68,1720419610.652791,21.6,68.0
69,1720419611.6552,21.21,69.0
70,1720419612.657454,21.17,70.0
71,1720419613.659525,21.14,71.0
72,1720419614.661445,22.15,72.0
73,1720419615.663731,21.05,73.0
74,1720419616.666115,21.06,74.0
75,1720419617.668333,21.1,75.0
76,1720419618.670547,21.1,76.0
77,1720419619.672833,21.09,77.0
78,1720419620.675405,21.08,78.0
79,1720419621.677751,21.15,79.0
80,1720419622.680358,21.09,80.0
81,1720419623.682473,21.11,81.0
82,1720419624.684995,21.01,82.0
83,1720419625.687366,21.14,83.0
84,1720419626.689771,21.11,84.0
85,1720419627.692057,21.17,85.0
86,1720419628.69425,21.16,86.0
87,1720419629.696298,21.08,87.0
88,1720419630.698621,21.12,88.0
89,1720419631.700869,21.13,89.0
90,1720419632.703094,21.14,90.0
91,1720419633.705246,21.09,91.0
92,1720419634.707448,21.04,92.0
93,1720419635.709987,21.14,93.0
94,1720419636.71246,21.11,94.0
95,1720419637.714672,21.09,95.0
96,1720419638.716835,21.13,96.0
97,1720419639.719122,21.08,97.0
98,1720419640.721339,21.06,98.0
99,1720419641.723569,21.03,99.0
100,1720419642.725975,21.12,100.0
101,1720419643.728086,21.11,101.0
102,1720419644.730358,21.1,102.0
103,1720419645.732678,21.12,103.0
104,1720419646.73492,20.99,104.0
105,1720419647.737052,22.21,105.0
106,1720419648.739418,21.07,106.0
107,1720419649.741652,21.06,107.0
108,1720419650.743937,21.1,108.0
109,1720419651.746231,21.08,109.0
110,1720419652.748521,21.09,110.0
111,1720419653.750699,21.16,111.0
112,1720419654.752807,21.09,112.0
113,1720419655.75499,21.06,113.0
114,1720419656.757207,20.97,114.0
115,1720419657.759509,20.97,115.0
116,1720419658.761918,20.98,116.0
117,1720419659.764317,21.0,117.0
118,1720419660.766642,21.43,118.0
119,1720419661.769181,21.84,119.0
120,1720419662.771607,21.08,120.0
121,1720419663.77392,21.09,121.0
122,1720419664.776242,21.09,122.0
123,1720419665.778547,21.15,123.0
124,1720419666.781047,21.05,124.0
125,1720419667.783432,21.09,125.0
126,1720419668.786019,21.06,126.0
127,1720419669.788384,21.08,127.0
128,1720419670.791075,21.11,128.0
129,1720419671.793561,21.06,129.0
130,1720419672.795921,20.97,130.0
131,1720419673.798123,21.03,131.0
132,1720419674.800511,21.0,132.0
133,1720419675.8026,20.99,133.0
134,1720419676.80495,21.04,134.0
135,1720419677.807226,20.99,135.0
136,1720419678.80956,21.0,136.0
137,1720419679.811871,20.91,137.0
138,1720419680.814035,21.24,138.0
139,1720419681.8164,20.95,139.0
140,1720419682.81859,21.01,140.0
141,1720419683.820527,20.97,141.0
142,1720419684.822401,21.0,142.0
143,1720419685.824627,20.99,143.0
144,1720419686.826986,20.93,144.0
145,1720419687.829242,20.87,145.0
146,1720419688.831704,20.89,146.0
147,1720419689.833872,20.86,147.0
148,1720419690.836317,20.88,148.0
149,1720419691.838637,20.88,149.0
150,1720419692.841165,20.88,150.0
151,1720419693.843391,20.86,151.0
152,1720419694.845744,20.84,152.0
153,1720419695.847862,20.91,153.0
154,1720419696.85008,20.87,154.0
155,1720419697.852242,20.87,155.0
156,1720419698.854522,20.83,156.0
157,1720419699.856717,20.86,157.0
158,1720419700.85914,20.85,158.0
159,1720419701.861363,20.88,159.0
160,1720419702.863445,20.85,160.0
161,1720419703.865636,20.83,161.0
162,1720419704.867734,20.87,162.0
163,1720419705.869969,20.8,163.0
164,1720419706.872348,20.9,164.0
165,1720419707.87456,20.83,165.0
166,1720419708.876921,20.87,166.0
167,1720419709.879139,21.26,167.0
168,1720419710.881667,22.04,168.0
169,1720419711.883958,21.84,169.0
170,1720419712.886376,21.83,170.0
171,1720419713.888588,21.28,171.0
172,1720419714.891279,21.2,172.0
173,1720419715.893429,21.15,173.0
174,1720419716.895838,21.03,174.0
175,1720419717.898092,22.25,175.0
176,1720419718.900653,21.1,176.0
177,1720419719.903141,21.08,177.0
178,1720419720.905453,21.05,178.0
179,1720419721.907828,21.03,179.0
180,1720419722.910283,21.03,180.0
181,1720419723.912647,21.12,181.0
182,1720419724.915135,21.09,182.0
183,1720419725.917416,21.1,183.0
184,1720419726.919795,21.09,184.0
185,1720419727.922193,21.05,185.0
186,1720419728.924794,21.04,186.0
187,1720419729.927266,21.13,187.0
188,1720419730.929693,21.09,188.0
189,1720419731.931993,21.08,189.0
190,1720419732.934366,21.12,190.0
191,1720419733.93661,21.11,191.0
192,1720419734.939199,21.03,192.0
193,1720419735.941397,21.12,193.0
194,1720419736.943979,21.13,194.0
195,1720419737.946374,21.13,195.0
196,1720419738.948716,21.14,196.0
197,1720419739.950958,21.1,197.0
198,1720419740.953378,21.09,198.0
199,1720419741.95559,21.1,199.0
200,1720419742.957902,21.11,200.0
201,1720419743.960314,21.13,201.0
202,1720419744.962705,21.09,202.0
203,1720419745.964923,21.05,203.0
204,1720419746.967412,21.04,204.0
205,1720419747.969732,22.11,205.0
206,1720419748.972049,21.12,206.0
207,1720419749.974396,21.1,207.0
208,1720419750.976922,21.08,208.0
209,1720419751.979032,21.13,209.0
210,1720419752.981344,21.11,210.0
211,1720419753.983716,21.09,211.0
212,1720419754.986256,20.98,212.0
213,1720419755.988559,21.01,213.0
214,1720419756.990967,21.09,214.0
215,1720419757.993282,21.08,215.0
216,1720419758.995735,20.99,216.0
217,1720419759.997916,21.01,217.0
218,1720419761.000182,21.06,218.0
219,1720419762.002465,22.03,219.0
220,1720419763.004845,21.16,220.0
221,1720419764.007335,21.04,221.0
222,1720419765.009799,21.12,222.0
223,1720419766.012167,21.06,223.0
224,1720419767.01481,21.12,224.0
225,1720419768.017166,21.1,225.0
226,1720419769.019642,21.08,226.0
227,1720419770.021702,21.09,227.0
228,1720419771.024437,21.04,228.0
229,1720419772.026785,21.17,229.0
230,1720419773.029332,21.07,230.0
231,1720419774.031734,20.98,231.0
