Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
6,0.1,0,2.3,97.6,0,2,1139,2445,17,17,14,98.81,3.85,53.99,8.32,44.82,28,19,21,1.12,GHz,-N/A-,
7,0.1,0,2.2,97.7,0,2,838,1897,17,9,20,98.66,3.77,54.04,8.3,44.63,28,19,21,1.11,GHz,-N/A-,
8,0.1,0,2.1,97.8,0,2,634,1216,0,0,0,99.1,3.79,54.21,8.57,44.9,26,19,21,1.11,GHz,-N/A-,
9,1.2,0,2.2,96.6,0,2,1414,1797,4,4,4,104.33,5.58,54.68,8.78,49.65,29,18,21,1.18,GHz,-N/A-,
10,0,0,2.1,97.8,0,2,638,1175,0,0,0,99.12,3.8,54.12,8.33,45,29,19,22,1.11,GHz,-N/A-,
11,0.1,0,2.3,97.6,0,2,809,2334,16,16,13,99.2,3.83,54.15,8.34,45.05,29,18,22,1.13,GHz,-N/A-,
12,0.1,0,2.2,97.7,0,2,874,2166,17,9,20,99.1,3.77,54.06,8.32,45.04,30,19,22,1.11,GHz,-N/A-,
13,0,0,2.1,97.9,0,2,620,949,0,0,0,99.32,3.77,54.18,8.3,45.14,30,19,22,1.11,GHz,-N/A-,
14,1.5,0,2.3,96.3,0,2,1531,2095,4,4,4,104.77,5.72,54.61,8.32,50.16,29,19,23,1.21,GHz,-N/A-,
15,0,0,2.1,97.9,0,2,551,1024,0,0,0,98.82,3.78,54.07,8.32,44.75,30,19,23,1.11,GHz,-N/A-,
16,0,0,2.1,97.9,0,2,560,999,0,0,0,99.01,3.76,54.18,8.33,44.84,30,19,22,1.11,GHz,-N/A-,
17,0,0,2.1,97.9,0,2,644,1111,0,0,0,99.05,3.77,54.15,8.33,44.91,30,19,23,1.11,GHz,-N/A-,
18,0,0,2.1,97.9,0,2,539,1052,0,0,0,98.92,3.75,54.12,8.31,44.8,31,18,22,1.11,GHz,-N/A-,
19,1.1,0,2.2,96.6,0,2,1205,1989,4,4,4,104.17,5.58,54.61,8.32,49.55,30,19,23,1.17,GHz,-N/A-,
20,0,0,2.1,97.9,0,2,554,961,0,0,0,98.99,3.75,54.2,8.31,44.79,30,19,23,1.11,GHz,-N/A-,
21,0,0,2.1,97.9,0,2,610,912,0,0,0,98.88,3.76,54.14,8.31,44.73,31,18,23,1.11,GHz,-N/A-,
22,0,0,2.1,97.9,0,2,529,1039,0,0,0,99.08,3.73,54.18,8.31,44.9,31,19,23,1.11,GHz,-N/A-,
23,0,0,2.1,97.9,0,2,556,1153,0,0,0,98.89,3.73,54.15,8.31,44.74,31,19,23,1.11,GHz,-N/A-,
24,1,0,2.2,96.8,0,3,1248,2048,4,4,4,103.57,5.33,54.58,8.31,49,31,19,30,1.18,GHz,-N/A-,
25,0.5,0,2.1,97.4,0,2,790,1173,0,0,0,100.29,4.17,54.24,8.31,46.04,31,19,23,1.22,GHz,-N/A-,
26,0,0,2.1,97.9,0,2,593,1040,0,0,0,99.24,3.72,54.23,8.31,45.01,32,19,23,1.11,GHz,-N/A-,
27,0,0,2.1,97.9,0,2,524,965,0,0,0,99.12,3.78,54.23,8.32,44.89,31,19,23,1.11,GHz,-N/A-,
28,0,0,2.1,97.9,0,2,584,1075,1,0,0,99.09,3.75,54.22,8.33,44.88,32,19,24,1.11,GHz,-N/A-,
