Timestamp,Sensor,Value
2024-07-29 14:28:50,Current,255
2024-07-29 14:28:51,Current,258
2024-07-29 14:28:52,Current,258
2024-07-29 14:28:53,Current,256
2024-07-29 14:28:54,Current,258
2024-07-29 14:28:55,Current,257
2024-07-29 14:28:56,Current,257
2024-07-29 14:28:57,Current,259
2024-07-29 14:28:58,Current,256
2024-07-29 14:28:59,Current,255
2024-07-29 14:29:00,Current,257
2024-07-29 14:29:01,Current,258
2024-07-29 14:29:02,Current,255
2024-07-29 14:29:04,Current,257
2024-07-29 14:29:05,Current,276
2024-07-29 14:29:06,Current,288
2024-07-29 14:29:07,Current,284
2024-07-29 14:29:09,Current,279
2024-07-29 14:29:10,Current,290
2024-07-29 14:29:11,Current,262
2024-07-29 14:29:12,Current,260
2024-07-29 14:29:13,Current,283
2024-07-29 14:29:14,Current,288
2024-07-29 14:29:16,Current,287
2024-07-29 14:29:17,Current,286
2024-07-29 14:29:18,Current,286
2024-07-29 14:29:19,Current,290
2024-07-29 14:29:21,Current,291
2024-07-29 14:29:22,Current,285
2024-07-29 14:29:23,Current,291
2024-07-29 14:29:25,Current,284
2024-07-29 14:29:26,Current,288
2024-07-29 14:29:27,Current,287
2024-07-29 14:29:29,Current,289
2024-07-29 14:29:30,Current,287
2024-07-29 14:29:31,Current,289
2024-07-29 14:29:32,Current,287
2024-07-29 14:29:34,Current,290
2024-07-29 14:29:35,Current,289
2024-07-29 14:29:36,Current,287
2024-07-29 14:29:38,Current,291
2024-07-29 14:29:39,Current,291
2024-07-29 14:29:40,Current,286
2024-07-29 14:29:42,Current,288
2024-07-29 14:29:43,Current,288
2024-07-29 14:29:44,Current,287
2024-07-29 14:29:45,Current,288
2024-07-29 14:29:47,Current,287
2024-07-29 14:29:48,Current,288
2024-07-29 14:29:49,Current,286
2024-07-29 14:29:50,Current,286
2024-07-29 14:29:52,Current,286
2024-07-29 14:29:53,Current,287
2024-07-29 14:29:54,Current,288
2024-07-29 14:29:56,Current,291
2024-07-29 14:29:57,Current,286
2024-07-29 14:29:58,Current,289
2024-07-29 14:30:00,Current,291
2024-07-29 14:30:01,Current,289
2024-07-29 14:30:02,Current,285
2024-07-29 14:30:04,Current,289
2024-07-29 14:30:05,Current,293
2024-07-29 14:30:06,Current,293
2024-07-29 14:30:08,Current,290
2024-07-29 14:30:09,Current,291
2024-07-29 14:30:10,Current,264
2024-07-29 14:30:11,Current,262
2024-07-29 14:30:12,Current,263
2024-07-29 14:30:13,Current,262
2024-07-29 14:30:14,Current,264
2024-07-29 14:30:15,Current,264
2024-07-29 14:30:16,Current,264
2024-07-29 14:30:17,Current,263
2024-07-29 14:30:18,Current,265
2024-07-29 14:30:19,Current,262
2024-07-29 14:30:20,Current,262
2024-07-29 14:30:22,Current,263
2024-07-29 14:30:23,Current,263
2024-07-29 14:30:24,Current,263
2024-07-29 14:30:25,Current,262
2024-07-29 14:30:26,Current,263
2024-07-29 14:30:27,Current,263
2024-07-29 14:30:28,Current,262
2024-07-29 14:30:29,Current,262
2024-07-29 14:30:30,Current,264
2024-07-29 14:30:31,Current,262
2024-07-29 14:30:32,Current,260
2024-07-29 14:30:33,Current,260
2024-07-29 14:30:34,Current,258
2024-07-29 14:30:35,Current,259
2024-07-29 14:30:36,Current,258
2024-07-29 14:30:37,Current,259
2024-07-29 14:30:38,Current,257
2024-07-29 14:30:40,Current,258
2024-07-29 14:30:41,Current,260
2024-07-29 14:30:42,Current,258
2024-07-29 14:30:43,Current,279
2024-07-29 14:30:44,Current,288
2024-07-29 14:30:45,Current,286
2024-07-29 14:30:47,Current,289
2024-07-29 14:30:48,Current,284
2024-07-29 14:30:49,Current,273
2024-07-29 14:30:50,Current,263
2024-07-29 14:30:51,Current,283
2024-07-29 14:30:52,Current,286
2024-07-29 14:30:54,Current,286
2024-07-29 14:30:55,Current,285
2024-07-29 14:30:56,Current,286
2024-07-29 14:30:58,Current,287
2024-07-29 14:30:59,Current,288
2024-07-29 14:31:00,Current,287
2024-07-29 14:31:02,Current,289
2024-07-29 14:31:03,Current,288
2024-07-29 14:31:04,Current,288
2024-07-29 14:31:05,Current,287
2024-07-29 14:31:07,Current,287
2024-07-29 14:31:08,Current,285
2024-07-29 14:31:09,Current,287
2024-07-29 14:31:10,Current,286
2024-07-29 14:31:12,Current,287
2024-07-29 14:31:13,Current,288
2024-07-29 14:31:14,Current,286
2024-07-29 14:31:16,Current,286
