Timestamp,Sensor,Value
2024-07-23 15:44:45,Current,118
2024-07-23 15:44:46,Current,129
2024-07-23 15:44:47,Current,136
2024-07-23 15:44:48,Current,178
2024-07-23 15:44:50,Current,218
2024-07-23 15:44:51,Current,228
2024-07-23 15:44:52,Current,243
2024-07-23 15:44:53,Current,245
2024-07-23 15:44:54,Current,245
2024-07-23 15:44:55,Current,240
2024-07-23 15:44:56,Current,241
2024-07-23 15:44:57,Current,237
2024-07-23 15:44:58,Current,240
2024-07-23 15:44:59,Current,240
2024-07-23 15:45:00,Current,239
2024-07-23 15:45:01,Current,240
2024-07-23 15:45:02,Current,240
2024-07-23 15:45:03,Current,240
2024-07-23 15:45:05,Current,238
2024-07-23 15:45:06,Current,238
2024-07-23 15:45:07,Current,239
2024-07-23 15:45:08,Current,237
2024-07-23 15:45:09,Current,236
2024-07-23 15:45:10,Current,239
2024-07-23 15:45:11,Current,241
2024-07-23 15:45:12,Current,241
2024-07-23 15:45:13,Current,238
2024-07-23 15:45:14,Current,237
2024-07-23 15:45:15,Current,216
2024-07-23 15:45:16,Current,224
2024-07-23 15:45:17,Current,220
2024-07-23 15:45:18,Current,221
2024-07-23 15:45:20,Current,222
2024-07-23 15:45:21,Current,229
2024-07-23 15:45:22,Current,239
2024-07-23 15:45:23,Current,241
2024-07-23 15:45:24,Current,239
2024-07-23 15:45:25,Current,241
2024-07-23 15:45:26,Current,241
2024-07-23 15:45:27,Current,239
2024-07-23 15:45:28,Current,241
2024-07-23 15:45:29,Current,240
2024-07-23 15:45:30,Current,241
2024-07-23 15:45:31,Current,242
2024-07-23 15:45:32,Current,242
2024-07-23 15:45:33,Current,234
2024-07-23 15:45:35,Current,218
2024-07-23 15:45:36,Current,199
2024-07-23 15:45:37,Current,207
2024-07-23 15:45:38,Current,168
2024-07-23 15:45:39,Current,221
2024-07-23 15:45:40,Current,179
2024-07-23 15:45:41,Current,183
2024-07-23 15:45:43,Current,175
2024-07-23 15:45:44,Current,230
2024-07-23 15:45:45,Current,228
2024-07-23 15:45:47,Current,231
2024-07-23 15:45:48,Current,207
2024-07-23 15:45:49,Current,203
2024-07-23 15:45:50,Current,204
2024-07-23 15:45:51,Current,199
2024-07-23 15:45:52,Current,197
2024-07-23 15:45:53,Current,202
2024-07-23 15:45:54,Current,203
2024-07-23 15:45:55,Current,199
2024-07-23 15:45:56,Current,199
2024-07-23 15:45:57,Current,218
2024-07-23 15:45:59,Current,219
2024-07-23 15:46:00,Current,222
2024-07-23 15:46:01,Current,211
2024-07-23 15:46:02,Current,198
2024-07-23 15:46:03,Current,191
2024-07-23 15:46:04,Current,193
2024-07-23 15:46:05,Current,199
2024-07-23 15:46:06,Current,197
2024-07-23 15:46:07,Current,196
2024-07-23 15:46:08,Current,197
2024-07-23 15:46:10,Current,199
2024-07-23 15:46:11,Current,204
2024-07-23 15:46:12,Current,221
2024-07-23 15:46:13,Current,220
2024-07-23 15:46:14,Current,217
2024-07-23 15:46:16,Current,204
2024-07-23 15:46:17,Current,200
2024-07-23 15:46:18,Current,201
2024-07-23 15:46:19,Current,194
2024-07-23 15:46:20,Current,175
2024-07-23 15:46:21,Current,162
2024-07-23 15:46:22,Current,182
2024-07-23 15:46:23,Current,182
