Timestamp,Sensor,Value
2024-07-22 05:49:12,Current,208
2024-07-22 05:49:13,Current,207
2024-07-22 05:49:15,Current,206
2024-07-22 05:49:16,Current,206
2024-07-22 05:49:17,Current,209
2024-07-22 05:49:18,Current,209
2024-07-22 05:49:19,Current,207
2024-07-22 05:49:20,Current,207
2024-07-22 05:49:21,Current,210
2024-07-22 05:49:22,Current,209
2024-07-22 05:49:23,Current,207
2024-07-22 05:49:24,Current,204
2024-07-22 05:49:25,Current,208
2024-07-22 05:49:26,Current,207
2024-07-22 05:49:27,Current,205
2024-07-22 05:49:28,Current,213
2024-07-22 05:49:30,Current,224
2024-07-22 05:49:31,Current,231
2024-07-22 05:49:32,Current,227
2024-07-22 05:49:33,Current,230
2024-07-22 05:49:35,Current,231
2024-07-22 05:49:36,Current,214
2024-07-22 05:49:37,Current,212
2024-07-22 05:49:38,Current,225
2024-07-22 05:49:39,Current,232
2024-07-22 05:49:41,Current,228
2024-07-22 05:49:42,Current,228
2024-07-22 05:49:43,Current,227
2024-07-22 05:49:45,Current,228
2024-07-22 05:49:46,Current,230
2024-07-22 05:49:47,Current,227
2024-07-22 05:49:49,Current,229
2024-07-22 05:49:50,Current,228
2024-07-22 05:49:51,Current,229
2024-07-22 05:49:53,Current,226
2024-07-22 05:49:54,Current,226
2024-07-22 05:49:55,Current,228
2024-07-22 05:49:57,Current,231
2024-07-22 05:49:58,Current,230
2024-07-22 05:49:59,Current,227
2024-07-22 05:50:00,Current,226
2024-07-22 05:50:02,Current,228
2024-07-22 05:50:03,Current,227
2024-07-22 05:50:04,Current,230
2024-07-22 05:50:06,Current,231
2024-07-22 05:50:07,Current,230
2024-07-22 05:50:08,Current,231
2024-07-22 05:50:10,Current,229
2024-07-22 05:50:11,Current,230
2024-07-22 05:50:12,Current,229
2024-07-22 05:50:14,Current,230
2024-07-22 05:50:15,Current,228
2024-07-22 05:50:16,Current,228
2024-07-22 05:50:17,Current,232
2024-07-22 05:50:19,Current,229
2024-07-22 05:50:20,Current,229
2024-07-22 05:50:21,Current,230
2024-07-22 05:50:23,Current,230
2024-07-22 05:50:24,Current,229
2024-07-22 05:50:25,Current,230
2024-07-22 05:50:27,Current,224
2024-07-22 05:50:28,Current,228
2024-07-22 05:50:29,Current,230
2024-07-22 05:50:31,Current,227
2024-07-22 05:50:32,Current,236
2024-07-22 05:50:33,Current,227
2024-07-22 05:50:35,Current,235
2024-07-22 05:50:36,Current,235
2024-07-22 05:50:37,Current,219
2024-07-22 05:50:38,Current,214
2024-07-22 05:50:39,Current,215
2024-07-22 05:50:40,Current,216
2024-07-22 05:50:41,Current,217
2024-07-22 05:50:43,Current,215
2024-07-22 05:50:44,Current,215
2024-07-22 05:50:45,Current,215
2024-07-22 05:50:46,Current,215
2024-07-22 05:50:47,Current,214
2024-07-22 05:50:48,Current,215
2024-07-22 05:50:49,Current,216
2024-07-22 05:50:50,Current,215
2024-07-22 05:50:51,Current,215
2024-07-22 05:50:52,Current,215
2024-07-22 05:50:53,Current,216
2024-07-22 05:50:54,Current,215
2024-07-22 05:50:56,Current,214
2024-07-22 05:50:57,Current,215
2024-07-22 05:50:58,Current,215
2024-07-22 05:50:59,Current,204
2024-07-22 05:51:00,Current,169
2024-07-22 05:51:01,Current,217
2024-07-22 05:51:02,Current,221
2024-07-22 05:51:03,Current,219
2024-07-22 05:51:04,Current,218
2024-07-22 05:51:05,Current,216
2024-07-22 05:51:06,Current,215
2024-07-22 05:51:07,Current,214
2024-07-22 05:51:09,Current,231
2024-07-22 05:51:10,Current,230
2024-07-22 05:51:11,Current,233
2024-07-22 05:51:13,Current,233
2024-07-22 05:51:14,Current,231
2024-07-22 05:51:15,Current,223
2024-07-22 05:51:16,Current,209
2024-07-22 05:51:17,Current,229
2024-07-22 05:51:18,Current,229
2024-07-22 05:51:20,Current,231
2024-07-22 05:51:21,Current,229
2024-07-22 05:51:22,Current,223
2024-07-22 05:51:24,Current,230
2024-07-22 05:51:25,Current,225
2024-07-22 05:51:26,Current,229
2024-07-22 05:51:28,Current,231
2024-07-22 05:51:29,Current,230
2024-07-22 05:51:30,Current,231
2024-07-22 05:51:32,Current,232
2024-07-22 05:51:33,Current,228
2024-07-22 05:51:34,Current,229
2024-07-22 05:51:36,Current,229
2024-07-22 05:51:37,Current,230
2024-07-22 05:51:38,Current,228
2024-07-22 05:51:40,Current,230
2024-07-22 05:51:41,Current,227
2024-07-22 05:51:42,Current,227
2024-07-22 05:51:43,Current,231
2024-07-22 05:51:45,Current,226
2024-07-22 05:51:46,Current,228
2024-07-22 05:51:47,Current,229
2024-07-22 05:51:49,Current,228
2024-07-22 05:51:50,Current,226
2024-07-22 05:51:51,Current,231
2024-07-22 05:51:53,Current,229
2024-07-22 05:51:54,Current,229
2024-07-22 05:51:55,Current,229
2024-07-22 05:51:57,Current,228
2024-07-22 05:51:58,Current,227
2024-07-22 05:51:59,Current,233
2024-07-22 05:52:01,Current,230
2024-07-22 05:52:02,Current,228
2024-07-22 05:52:03,Current,231
2024-07-22 05:52:05,Current,231
2024-07-22 05:52:06,Current,228
2024-07-22 05:52:07,Current,229
2024-07-22 05:52:09,Current,233
2024-07-22 05:52:10,Current,237
2024-07-22 05:52:11,Current,232
2024-07-22 05:52:12,Current,232
2024-07-22 05:52:14,Current,234
2024-07-22 05:52:15,Current,235
2024-07-22 05:52:16,Current,222
2024-07-22 05:52:17,Current,216
2024-07-22 05:52:18,Current,218
2024-07-22 05:52:19,Current,216
2024-07-22 05:52:21,Current,216
2024-07-22 05:52:22,Current,215
2024-07-22 05:52:23,Current,217
2024-07-22 05:52:24,Current,217
2024-07-22 05:52:25,Current,215
2024-07-22 05:52:26,Current,216
2024-07-22 05:52:27,Current,216
2024-07-22 05:52:28,Current,215
2024-07-22 05:52:29,Current,216
2024-07-22 05:52:30,Current,215
2024-07-22 05:52:31,Current,216
2024-07-22 05:52:32,Current,217
2024-07-22 05:52:33,Current,216
2024-07-22 05:52:35,Current,216
2024-07-22 05:52:36,Current,216
2024-07-22 05:52:37,Current,216
2024-07-22 05:52:38,Current,212
2024-07-22 05:52:39,Current,211
2024-07-22 05:52:40,Current,211
2024-07-22 05:52:41,Current,209
2024-07-22 05:52:42,Current,205
2024-07-22 05:52:43,Current,210
2024-07-22 05:52:44,Current,206
2024-07-22 05:52:45,Current,205
2024-07-22 05:52:46,Current,212
2024-07-22 05:52:48,Current,223
2024-07-22 05:52:49,Current,232
2024-07-22 05:52:50,Current,232
2024-07-22 05:52:51,Current,231
2024-07-22 05:52:53,Current,231
2024-07-22 05:52:54,Current,222
2024-07-22 05:52:55,Current,214
2024-07-22 05:52:56,Current,225
2024-07-22 05:52:58,Current,231
2024-07-22 05:52:59,Current,231
2024-07-22 05:53:00,Current,230
2024-07-22 05:53:01,Current,229
2024-07-22 05:53:03,Current,230
2024-07-22 05:53:04,Current,229
2024-07-22 05:53:05,Current,230
2024-07-22 05:53:07,Current,225
2024-07-22 05:53:08,Current,228
2024-07-22 05:53:09,Current,226
2024-07-22 05:53:10,Current,228
2024-07-22 05:53:12,Current,230
2024-07-22 05:53:13,Current,226
2024-07-22 05:53:14,Current,230
2024-07-22 05:53:16,Current,228
2024-07-22 05:53:17,Current,231
2024-07-22 05:53:18,Current,231
2024-07-22 05:53:20,Current,229
2024-07-22 05:53:21,Current,229
2024-07-22 05:53:22,Current,230
2024-07-22 05:53:24,Current,230
2024-07-22 05:53:25,Current,232
2024-07-22 05:53:26,Current,230
2024-07-22 05:53:28,Current,228
2024-07-22 05:53:29,Current,233
2024-07-22 05:53:30,Current,228
2024-07-22 05:53:32,Current,233
2024-07-22 05:53:33,Current,232
2024-07-22 05:53:34,Current,231
2024-07-22 05:53:36,Current,231
2024-07-22 05:53:37,Current,231
2024-07-22 05:53:38,Current,230
2024-07-22 05:53:40,Current,230
2024-07-22 05:53:41,Current,230
2024-07-22 05:53:42,Current,230
2024-07-22 05:53:44,Current,229
2024-07-22 05:53:45,Current,229
2024-07-22 05:53:46,Current,231
2024-07-22 05:53:48,Current,232
2024-07-22 05:53:49,Current,230
2024-07-22 05:53:50,Current,233
2024-07-22 05:53:52,Current,235
2024-07-22 05:53:53,Current,234
2024-07-22 05:53:54,Current,232
2024-07-22 05:53:55,Current,223
2024-07-22 05:53:57,Current,211
2024-07-22 05:53:58,Current,213
2024-07-22 05:53:59,Current,210
2024-07-22 05:54:00,Current,215
2024-07-22 05:54:01,Current,216
2024-07-22 05:54:02,Current,216
2024-07-22 05:54:03,Current,217
2024-07-22 05:54:04,Current,216
2024-07-22 05:54:05,Current,215
2024-07-22 05:54:06,Current,215
2024-07-22 05:54:07,Current,214
2024-07-22 05:54:08,Current,215
2024-07-22 05:54:09,Current,215
2024-07-22 05:54:11,Current,216
2024-07-22 05:54:12,Current,216
2024-07-22 05:54:13,Current,216
2024-07-22 05:54:14,Current,215
2024-07-22 05:54:15,Current,215
2024-07-22 05:54:16,Current,216
2024-07-22 05:54:17,Current,229
2024-07-22 05:54:18,Current,228
2024-07-22 05:54:19,Current,227
2024-07-22 05:54:20,Current,230
2024-07-22 05:54:21,Current,229
2024-07-22 05:54:22,Current,228
2024-07-22 05:54:23,Current,228
2024-07-22 05:54:25,Current,228
2024-07-22 05:54:26,Current,229
2024-07-22 05:54:27,Current,228
2024-07-22 05:54:28,Current,229
2024-07-22 05:54:29,Current,234
2024-07-22 05:54:30,Current,232
2024-07-22 05:54:31,Current,230
2024-07-22 05:54:32,Current,230
2024-07-22 05:54:33,Current,231
2024-07-22 05:54:34,Current,232
2024-07-22 05:54:35,Current,230
2024-07-22 05:54:36,Current,231
2024-07-22 05:54:38,Current,230
2024-07-22 05:54:39,Current,229
2024-07-22 05:54:40,Current,229
2024-07-22 05:54:41,Current,228
2024-07-22 05:54:42,Current,229
2024-07-22 05:54:43,Current,228
2024-07-22 05:54:44,Current,229
2024-07-22 05:54:45,Current,228
2024-07-22 05:54:46,Current,226
2024-07-22 05:54:47,Current,230
2024-07-22 05:54:48,Current,230
2024-07-22 05:54:49,Current,230
2024-07-22 05:54:51,Current,230
2024-07-22 05:54:52,Current,231
2024-07-22 05:54:53,Current,228
2024-07-22 05:54:54,Current,232
2024-07-22 05:54:55,Current,231
2024-07-22 05:54:56,Current,230
2024-07-22 05:54:57,Current,232
2024-07-22 05:54:58,Current,211
2024-07-22 05:54:59,Current,210
2024-07-22 05:55:00,Current,210
2024-07-22 05:55:01,Current,208
2024-07-22 05:55:02,Current,211
2024-07-22 05:55:03,Current,209
2024-07-22 05:55:05,Current,208
2024-07-22 05:55:06,Current,207
2024-07-22 05:55:07,Current,207
