Timestamp,Sensor,Value
2024-07-23 15:54:57,Current,117
2024-07-23 15:54:58,Current,126
2024-07-23 15:54:59,Current,140
2024-07-23 15:55:00,Current,121
2024-07-23 15:55:01,Current,191
2024-07-23 15:55:02,Current,218
2024-07-23 15:55:03,Current,231
2024-07-23 15:55:04,Current,244
2024-07-23 15:55:05,Current,244
2024-07-23 15:55:06,Current,241
2024-07-23 15:55:07,Current,246
2024-07-23 15:55:08,Current,241
2024-07-23 15:55:10,Current,240
2024-07-23 15:55:11,Current,239
2024-07-23 15:55:12,Current,243
2024-07-23 15:55:13,Current,238
2024-07-23 15:55:14,Current,238
2024-07-23 15:55:15,Current,238
2024-07-23 15:55:16,Current,237
2024-07-23 15:55:17,Current,242
2024-07-23 15:55:18,Current,236
2024-07-23 15:55:19,Current,237
2024-07-23 15:55:20,Current,232
2024-07-23 15:55:21,Current,236
2024-07-23 15:55:22,Current,237
2024-07-23 15:55:24,Current,234
2024-07-23 15:55:25,Current,235
2024-07-23 15:55:26,Current,234
2024-07-23 15:55:27,Current,238
2024-07-23 15:55:28,Current,237
2024-07-23 15:55:29,Current,235
2024-07-23 15:55:30,Current,240
2024-07-23 15:55:31,Current,234
2024-07-23 15:55:32,Current,221
2024-07-23 15:55:33,Current,219
2024-07-23 15:55:34,Current,218
2024-07-23 15:55:35,Current,221
2024-07-23 15:55:36,Current,219
2024-07-23 15:55:37,Current,216
2024-07-23 15:55:39,Current,218
2024-07-23 15:55:40,Current,220
2024-07-23 15:55:41,Current,220
2024-07-23 15:55:42,Current,218
2024-07-23 15:55:43,Current,224
2024-07-23 15:55:44,Current,224
2024-07-23 15:55:45,Current,221
2024-07-23 15:55:46,Current,225
2024-07-23 15:55:47,Current,222
2024-07-23 15:55:48,Current,217
2024-07-23 15:55:49,Current,226
2024-07-23 15:55:50,Current,224
2024-07-23 15:55:51,Current,222
2024-07-23 15:55:52,Current,218
2024-07-23 15:55:53,Current,217
2024-07-23 15:55:55,Current,221
2024-07-23 15:55:56,Current,218
2024-07-23 15:55:57,Current,216
2024-07-23 15:55:58,Current,218
2024-07-23 15:55:59,Current,224
2024-07-23 15:56:00,Current,218
2024-07-23 15:56:01,Current,218
2024-07-23 15:56:02,Current,221
2024-07-23 15:56:03,Current,236
2024-07-23 15:56:04,Current,238
2024-07-23 15:56:05,Current,238
2024-07-23 15:56:06,Current,241
2024-07-23 15:56:07,Current,239
2024-07-23 15:56:08,Current,241
2024-07-23 15:56:10,Current,240
2024-07-23 15:56:11,Current,240
2024-07-23 15:56:12,Current,239
2024-07-23 15:56:13,Current,242
2024-07-23 15:56:14,Current,240
2024-07-23 15:56:15,Current,229
2024-07-23 15:56:16,Current,202
2024-07-23 15:56:17,Current,190
2024-07-23 15:56:18,Current,201
2024-07-23 15:56:19,Current,188
2024-07-23 15:56:20,Current,193
2024-07-23 15:56:21,Current,192
2024-07-23 15:56:22,Current,198
2024-07-23 15:56:23,Current,202
2024-07-23 15:56:24,Current,202
2024-07-23 15:56:26,Current,237
2024-07-23 15:56:27,Current,232
2024-07-23 15:56:28,Current,230
2024-07-23 15:56:29,Current,223
2024-07-23 15:56:30,Current,202
2024-07-23 15:56:31,Current,178
2024-07-23 15:56:33,Current,189
2024-07-23 15:56:34,Current,177
2024-07-23 15:56:35,Current,204
2024-07-23 15:56:36,Current,201
2024-07-23 15:56:37,Current,202
2024-07-23 15:56:38,Current,192
2024-07-23 15:56:39,Current,216
2024-07-23 15:56:40,Current,237
2024-07-23 15:56:42,Current,234
2024-07-23 15:56:43,Current,235
2024-07-23 15:56:44,Current,197

