Timestamp,Sensor,Value
2024-07-23 15:57:18,Current,124
2024-07-23 15:57:19,Current,141
2024-07-23 15:57:20,Current,134
2024-07-23 15:57:21,Current,181
2024-07-23 15:57:22,Current,217
2024-07-23 15:57:23,Current,218
2024-07-23 15:57:24,Current,229
2024-07-23 15:57:25,Current,232
2024-07-23 15:57:26,Current,241
2024-07-23 15:57:27,Current,237
2024-07-23 15:57:28,Current,243
2024-07-23 15:57:30,Current,241
2024-07-23 15:57:31,Current,243
2024-07-23 15:57:32,Current,244
2024-07-23 15:57:33,Current,230
2024-07-23 15:57:34,Current,242
2024-07-23 15:57:35,Current,237
2024-07-23 15:57:36,Current,243
2024-07-23 15:57:37,Current,239
2024-07-23 15:57:38,Current,233
2024-07-23 15:57:39,Current,237
2024-07-23 15:57:40,Current,237
2024-07-23 15:57:41,Current,242
2024-07-23 15:57:42,Current,242
2024-07-23 15:57:43,Current,241
2024-07-23 15:57:45,Current,238
2024-07-23 15:57:46,Current,238
2024-07-23 15:57:47,Current,241
2024-07-23 15:57:48,Current,224
2024-07-23 15:57:49,Current,226
2024-07-23 15:57:50,Current,226
2024-07-23 15:57:51,Current,238
2024-07-23 15:57:52,Current,237
2024-07-23 15:57:53,Current,233
2024-07-23 15:57:54,Current,237
2024-07-23 15:57:55,Current,238
2024-07-23 15:57:56,Current,241
2024-07-23 15:57:57,Current,240
2024-07-23 15:57:58,Current,235
2024-07-23 15:58:00,Current,242
2024-07-23 15:58:01,Current,225
2024-07-23 15:58:02,Current,209
2024-07-23 15:58:03,Current,204
2024-07-23 15:58:04,Current,204
2024-07-23 15:58:05,Current,207
2024-07-23 15:58:06,Current,210
2024-07-23 15:58:07,Current,209
2024-07-23 15:58:08,Current,211
2024-07-23 15:58:09,Current,211
2024-07-23 15:58:10,Current,211
2024-07-23 15:58:12,Current,238
2024-07-23 15:58:13,Current,230
2024-07-23 15:58:14,Current,224
2024-07-23 15:58:15,Current,152
2024-07-23 15:58:16,Current,211
2024-07-23 15:58:17,Current,213
2024-07-23 15:58:18,Current,211
2024-07-23 15:58:19,Current,187
2024-07-23 15:58:20,Current,165
2024-07-23 15:58:22,Current,211
2024-07-23 15:58:23,Current,210
2024-07-23 15:58:24,Current,180
2024-07-23 15:58:25,Current,224
2024-07-23 15:58:26,Current,228
2024-07-23 15:58:27,Current,233
2024-07-23 15:58:29,Current,217
2024-07-23 15:58:30,Current,175
2024-07-23 15:58:31,Current,185
2024-07-23 15:58:32,Current,197
2024-07-23 15:58:33,Current,197
2024-07-23 15:58:34,Current,192
2024-07-23 15:58:35,Current,197
2024-07-23 15:58:36,Current,128
2024-07-23 15:58:37,Current,212
2024-07-23 15:58:38,Current,182
2024-07-23 15:58:39,Current,229
2024-07-23 15:58:41,Current,226
2024-07-23 15:58:42,Current,221
2024-07-23 15:58:43,Current,193
2024-07-23 15:58:44,Current,193
2024-07-23 15:58:45,Current,205
2024-07-23 15:58:46,Current,196
2024-07-23 15:58:47,Current,200
